time,seconds_elapsed,bpm
1766399502380000000,-49.123,109
1766399509108000000,-42.395,110
1766399510110000000,-41.39299975585938,110
1766399511112000000,-40.391,110
1766399512115000000,-39.388,108
1766399513117000000,-38.386,110
1766399514112000000,-37.391,109
1766399515114000000,-36.389000244140625,109
1766399516116000000,-35.387,109
1766399517119000000,-34.384,111
1766399518121000000,-33.382,111
1766399529776000000,-21.727,0
1766399530778000000,-20.725000244140624,107
1766399531776000000,-19.727,106
1766399536092000000,-15.411,0
1766399537094000000,-14.408999755859375,107
1766399538096000000,-13.407,106
1766399539098000000,-12.405000244140625,105
1766399540100000000,-11.403,106
1766399541102000000,-10.400999755859376,106
1766399542103000000,-9.4,105
1766399543105000000,-8.398,104
1766399544105000000,-7.398,103
1766399545107000000,-6.396,102
1766399546109000000,-5.394,102
1766399547112000000,-4.391,101
1766399548114000000,-3.389000244140625,101
1766399549116000000,-2.387,100
1766399550118000000,-1.384999755859375,99
1766399551120000000,-0.383,98
1766399552296000000,0.793,97
1766399553298000000,1.794999755859375,97
1766399554301000000,2.798,98
1766399555303000000,3.8,99
1766399556306000000,4.802999755859375,100
1766399557308000000,5.805,101
1766399558310000000,6.807000244140625,101
1766399559312000000,7.809,100
1766399560314000000,8.810999755859376,101
1766399561316000000,9.813,102
1766399562318000000,10.815000244140625,103
1766399563321000000,11.818,105
1766399564323000000,12.82,104
1766399565325000000,13.822,103
1766399566328000000,14.825,103
1766399567329000000,15.826,103
1766399568331000000,16.828,104
1766399569333000000,17.83,106
1766399570336000000,18.833,107
1766399571338000000,19.834999755859375,0
1766399572339000000,20.836,106
1766399573342000000,21.839000244140625,106
1766399574595000000,23.092,105
1766399575598000000,24.095000244140625,106
1766399576601000000,25.098,107
1766399577604000000,26.101,108
1766399578607000000,27.104,109
1766399579610000000,28.106999755859373,109
1766399580613000000,29.11,109
1766399581616000000,30.113,109
1766399582619000000,31.116,109
1766399583622000000,32.11900024414062,109
1766399584626000000,33.122999755859375,108
1766399585629000000,34.126,108
1766399586633000000,35.13,108
1766399587636000000,36.133,108
1766399588639000000,37.136,108
1766399589642000000,38.13899975585937,107
1766399590645000000,39.142,107
1766399591648000000,40.145,108
1766399592650000000,41.146999755859376,108
1766399593653000000,42.15,109
1766399594656000000,43.153,108
1766399595658000000,44.15499975585937,108
1766399596661000000,45.158,109
1766399597664000000,46.161,109
1766399598667000000,47.164,109
1766399599669000000,48.166,108
1766399600672000000,49.169,108
1766399601674000000,50.17099975585938,108
1766399602677000000,51.174,108
1766399603679000000,52.176,108
1766399604682000000,53.17899975585937,109
1766399605684000000,54.181,109
1766399606687000000,55.184,108
1766399607690000000,56.186999755859375,108
1766399608693000000,57.19,108
1766399609696000000,58.193,108
1766399610699000000,59.196,0
1766399611701000000,60.198,107
1766399612704000000,61.201,107
1766399613708000000,62.205,106
1766399614711000000,63.208,106
1766399615714000000,64.21099975585938,106
1766399616717000000,65.214,0
1766399617720000000,66.217,106
1766399618723000000,67.22,106
1766399619726000000,68.22300024414062,106
1766399620729000000,69.226,106
1766399621732000000,70.229,105
1766399622735000000,71.232,105
1766399623738000000,72.23499975585938,103
1766399624741000000,73.238,104
1766399625743000000,74.24,106
1766399626746000000,75.24299975585937,106
1766399627750000000,76.24700024414062,106
1766399628752000000,77.249,105
1766399629755000000,78.252,104
1766399630758000000,79.25500024414063,106
1766399631761000000,80.258,109
1766399632763000000,81.26,110
1766399633766000000,82.26300024414063,109
1766399634768000000,83.265,108
1766399635771000000,84.268,108
1766399636774000000,85.27100024414062,107
1766399637776000000,86.273,105
1766399638779000000,87.276,104
1766399639782000000,88.27900024414062,106
1766399640785000000,89.282,107
1766399641787000000,90.284,107
1766399642790000000,91.28700024414063,105
1766399643793000000,92.29,103
1766399644795000000,93.292,102
1766399645798000000,94.29500024414062,102
1766399646801000000,95.298,101
1766399647803000000,96.3,101
1766399648806000000,97.30300024414062,100
1766399649809000000,98.306,99
1766399650811000000,99.308,99
1766399651814000000,100.31100024414063,100
1766399652817000000,101.314,0
1766399653819000000,102.316,99
1766399654823000000,103.32,101
1766399655826000000,104.32299975585937,102
1766399656828000000,105.325,104
1766399657831000000,106.328,104
1766399658834000000,107.33099975585938,104
1766399659836000000,108.333,103
1766399660839000000,109.336,103
1766399661842000000,110.33899975585938,102
1766399662844000000,111.341,101
1766399663847000000,112.344,100
1766399664849000000,113.346,100
1766399665852000000,114.349,99
1766399666854000000,115.35100024414062,99
1766399667857000000,116.354,100
1766399668860000000,117.357,100
1766399669863000000,118.36,100
1766399670866000000,119.36299975585938,100
1766399671869000000,120.366,100
1766399672872000000,121.369,102
1766399673875000000,122.372,103
1766399674877000000,123.374,106
1766399675880000000,124.377,104
1766399676883000000,125.38,104
1766399677886000000,126.38300024414062,107
1766399678889000000,127.386,109
1766399679892000000,128.389,111
1766399680895000000,129.392,113
1766399681897000000,130.394,114
1766399682900000000,131.397,113
1766399683903000000,132.4,112
1766399684905000000,133.402,112
1766399685909000000,134.406,111
1766399686912000000,135.409,111
1766399687914000000,136.41099975585936,111
1766399688917000000,137.414,112
1766399689920000000,138.417,112
1766399690922000000,139.41899975585937,111
1766399691925000000,140.422,112
