mut 437	0.00334919	0.104148
mut 438	0.0035469	0.107695
mut 439	0.00358832	0.111283
mut 440	0.00371657	0.115
mut 441	0.00401715	0.119017
mut 442	0.0041267	0.123144
mut 443	0.004454	0.127598
mut 444	0.00460764	0.132205
mut 445	0.00468111	0.136886
mut 446	0.00451679	0.141403
mut 447	0.00464638	0.14605
mut 448	0.0045395	0.150589
mut 449	0.00451813	0.155107
mut 450	0.00465172	0.159759
mut 451	0.00478131	0.16454
mut 452	0.00485345	0.169394
mut 453	0.00496299	0.174357
mut 454	0.00514201	0.179499
mut 455	0.00520346	0.184702
mut 456	0.00549336	0.190196
mut 457	0.00568707	0.195883
mut 458	0.00577123	0.201654
mut 459	0.00563096	0.207285
mut 460	0.00592353	0.213208
mut 461	0.0056657	0.218874
mut 462	0.0056697	0.224544
mut 463	0.00563096	0.230175
mut 464	0.00590616	0.236081
mut 465	0.00602907	0.24211
mut 466	0.00621476	0.248325
mut 467	0.0063724	0.254697
mut 468	0.00666364	0.261361
mut 469	0.00695754	0.268318
mut 470	0.00689876	0.275217
mut 471	0.00694686	0.282164
mut 472	0.00687472	0.289039
mut 473	0.00676116	0.2958
mut 474	0.00660486	0.302405
mut 475	0.00666097	0.309066
mut 476	0.00694552	0.316011
mut 477	0.00716862	0.32318
mut 478	0.00755203	0.330732
mut 479	0.0076175	0.338349
mut 480	0.00774441	0.346094
mut 481	0.00779517	0.353889
mut 482	0.00772571	0.361615
mut 483	0.0076175	0.369232
mut 484	0.0074986	0.376731
mut 485	0.00763486	0.384366
mut 486	0.00737569	0.391741
mut 487	0.00735031	0.399092
mut 488	0.00721672	0.406308
mut 489	0.00762685	0.413935
mut 490	0.00791808	0.421853
mut 491	0.00813049	0.429984
mut 492	0.00830951	0.438293
mut 493	0.00857269	0.446866
mut 494	0.00828813	0.455154
mut 495	0.00771101	0.462865
mut 496	0.00780185	0.470667
mut 497	0.0077925	0.478459
mut 498	0.00769097	0.48615
mut 499	0.00792342	0.494074
mut 500	0.00807171	0.502146
mut 501	0.0080116	0.510157
mut 502	0.00793946	0.518097
mut 503	0.00776578	0.525862
mut 504	0.00768964	0.533552
mut 505	0.00775777	0.54131
mut 506	0.00790606	0.549216
mut 507	0.00780586	0.557022
mut 508	0.00812114	0.565143
mut 509	0.00801828	0.573161
mut 510	0.0079261	0.581087
mut 511	0.0075881	0.588675
mut 512	0.00752398	0.596199
mut 513	0.00733428	0.603534
mut 514	0.00736901	0.610903
mut 515	0.00739439	0.618297
mut 516	0.00773639	0.626033
mut 517	0.00779384	0.633827
mut 518	0.00786064	0.641688
mut 519	0.00769899	0.649387
mut 520	0.00776445	0.657151
mut 521	0.00738104	0.664532
mut 522	0.00720469	0.671737
mut 523	0.00689476	0.678632
mut 524	0.00709114	0.685723
mut 525	0.00697358	0.692696
mut 526	0.00701098	0.699707
mut 527	0.00710717	0.706815
mut 528	0.00688808	0.713703
mut 529	0.00681861	0.720521
mut 530	0.00654875	0.72707
mut 531	0.00648329	0.733553
mut 532	0.00624148	0.739795
mut 533	0.00640046	0.746195
mut 534	0.00611591	0.752311
mut 535	0.00604243	0.758354
mut 536	0.00586074	0.764214
mut 537	0.00569375	0.769908
mut 538	0.00548134	0.775389
mut 539	0.00527694	0.780666
mut 540	0.00546931	0.786136
mut 541	0.00525957	0.791395
mut 542	0.0056176	0.797013
mut 543	0.00551607	0.802529
mut 544	0.00554012	0.808069
mut 545	0.00544527	0.813514
mut 546	0.0055134	0.819028
mut 547	0.00526224	0.82429
mut 548	0.00546664	0.829757
mut 549	0.00527828	0.835035
mut 550	0.00520213	0.840237
mut 551	0.00490288	0.84514
mut 552	0.00473455	0.849874
mut 553	0.00451546	0.85439
mut 554	0.00449141	0.858881
mut 555	0.00436316	0.863244
mut 556	0.00428434	0.867529
mut 557	0.00414674	0.871676
mut 558	0.00409998	0.875776
mut 559	0.00422155	0.879997
mut 560	0.00398643	0.883983
mut 561	0.00415342	0.888137
mut 562	0.00402784	0.892165
mut 563	0.00384615	0.896011
mut 564	0.00362305	0.899634
mut 565	0.00352419	0.903158
mut 566	0.00324766	0.906406
mut 567	0.00317685	0.909583
mut 568	0.00310605	0.912689
mut 569	0.00318487	0.915874
mut 570	0.00313544	0.919009
mut 571	0.00325834	0.922267
mut 572	0.00328773	0.925555
mut 573	0.00319555	0.928751
mut 574	0.00294306	0.931694
mut 575	0.0028963	0.93459
mut 576	0.0026692	0.937259
mut 577	0.00261175	0.939871
mut 578	0.00257568	0.942447
mut 579	0.00234189	0.944789
mut 580	0.00204531	0.946834
mut 581	0.00199054	0.948824
mut 582	0.0017621	0.950586
mut 583	0.001714	0.9523
mut 584	0.00178347	0.954084
mut 585	0.00177546	0.955859
mut 586	0.00165389	0.957513
mut 587	0.00167927	0.959193
mut 588	0.00163518	0.960828
mut 589	0.00151094	0.962339
mut 590	0.00158575	0.963924
mut 591	0.00156037	0.965485
mut 592	0.00150827	0.966993
mut 593	0.00141609	0.968409
mut 594	0.00149491	0.969904
mut 595	0.0013867	0.971291
mut 596	0.00129318	0.972584
mut 597	0.00124509	0.973829
mut 598	0.00116093	0.97499
mut 599	0.00111951	0.976109
mut 600	0.0010781	0.977188
mut 601	0.00107008	0.978258
mut 602	0.00103668	0.979294
mut 603	0.000957865	0.980252
mut 604	0.000780185	0.981032
mut 605	0.000713389	0.981746
mut 606	0.000721404	0.982467
mut 607	0.000702701	0.98317
mut 608	0.000633233	0.983803
mut 609	0.000581131	0.984384
mut 610	0.000573116	0.984957
mut 611	0.000563764	0.985521
mut 612	0.000507655	0.986029
mut 613	0.000605178	0.986634
mut 614	0.00065728	0.987291
mut 615	0.000713389	0.988005
mut 616	0.00069335	0.988698
mut 617	0.000740107	0.989438
mut 618	0.000682662	0.990121
mut 619	0.000653272	0.990774
mut 620	0.000551741	0.991326
mut 621	0.000455553	0.991781
mut 622	0.000399444	0.992181
mut 623	0.000388757	0.99257
mut 624	0.000337991	0.992908
mut 625	0.000336655	0.993244
mut 626	0.000396772	0.993641
mut 627	0.000368718	0.99401
mut 628	0.000341999	0.994352
mut 629	0.000339327	0.994691
mut 630	0.000336655	0.995028
mut 631	0.00029257	0.99532
mut 632	0.000267187	0.995587
mut 633	0.000252492	0.99584
mut 634	0.00024982	0.99609
mut 635	0.000251156	0.996341
mut 636	0.00024314	0.996584
mut 637	0.000252492	0.996837
mut 638	0.000239132	0.997076
mut 639	0.000217757	0.997293
mut 640	0.000195046	0.997488
mut 641	0.000177679	0.997666
mut 642	0.000154968	0.997821
mut 643	0.000120234	0.997941
mut 644	9.61872e-05	0.998038
mut 645	7.08045e-05	0.998108
mut 646	6.1453e-05	0.99817
mut 647	4.40858e-05	0.998214
mut 648	5.61092e-05	0.99827
mut 649	5.61092e-05	0.998326
mut 650	7.34764e-05	0.9984
mut 651	7.61482e-05	0.998476
mut 652	8.1492e-05	0.998557
mut 653	8.68357e-05	0.998644
mut 654	0.000110883	0.998755
mut 655	8.41638e-05	0.998839
mut 656	6.81326e-05	0.998907
mut 657	4.40858e-05	0.998951
mut 658	7.61482e-05	0.999027
mut 659	8.41638e-05	0.999112
mut 660	9.35154e-05	0.999205
mut 661	0.000110883	0.999316
mut 662	0.000110883	0.999427
mut 663	6.1453e-05	0.999488
mut 664	6.27889e-05	0.999551
mut 665	5.34374e-05	0.999605
mut 666	4.94296e-05	0.999654
mut 667	4.94296e-05	0.999703
mut 668	4.94296e-05	0.999753
mut 669	1.33593e-05	0.999766
mut 670	2.13749e-05	0.999788
mut 671	8.0156e-06	0.999796
mut 672	8.0156e-06	0.999804
mut 673	8.0156e-06	0.999812
mut 674	8.0156e-06	0.99982
mut 675	0	0.99982
mut 676	1.73671e-05	0.999837
mut 677	1.73671e-05	0.999854
