time,seconds_elapsed,bpm
1766483913138000000,-2.275000244140625,95
1766483914758000000,-0.654999755859375,95
1766483915758000000,0.345000244140625,97
1766483916759000000,1.346,97
1766483917757000000,2.344,97
1766483918758000000,3.345000244140625,98
1766483919758000000,4.345000244140625,99
1766483920759000000,5.346,99
1766483922267000000,6.854,100
1766483923268000000,7.855,100
1766483924269000000,8.856,101
1766483925270000000,9.857000244140625,0
1766483926271000000,10.858,102
1766483927272000000,11.859,103
1766483928274000000,12.860999755859375,105
1766483929275000000,13.862,104
1766483930277000000,14.864,104
1766483931278000000,15.865000244140624,102
1766483932279000000,16.866,103
1766483933280000000,17.867,103
1766483934281000000,18.868,105
1766483935283000000,19.87,107
1766483936284000000,20.871,107
1766483937285000000,21.872,108
1766483938287000000,22.874,108
1766483939288000000,23.875,108
1766483940290000000,24.876999755859377,108
1766483941291000000,25.878,108
1766483942292000000,26.879,108
1766483943294000000,27.881000244140626,108
1766483944295000000,28.882,108
1766483945295000000,29.882,108
1766483946296000000,30.883,108
1766483947297000000,31.884,108
1766483948299000000,32.886,108
1766483949300000000,33.887,108
1766483950302000000,34.889000244140625,108
1766483951303000000,35.89,109
1766483952305000000,36.892,110
1766483953306000000,37.89299975585938,110
1766483954308000000,38.895,110
1766483955309000000,39.896,110
1766483956311000000,40.898,110
1766483957312000000,41.899,110
1766483958313000000,42.9,111
1766483959314000000,43.900999755859374,111
1766483960316000000,44.903,112
1766483961317000000,45.904,112
1766483962319000000,46.906,0
1766483963320000000,47.907,113
1766483964322000000,48.90899975585938,113
1766483965324000000,49.911,113
1766483966325000000,50.912,113
1766483967327000000,51.914,112
1766483968328000000,52.915,113
1766483969330000000,53.91699975585937,113
1766483970332000000,54.919,114
1766483971334000000,55.92100024414062,113
1766483972335000000,56.922,114
1766483973337000000,57.924,114
1766483974338000000,58.924999755859375,113
1766483975340000000,59.927,0
1766483976341000000,60.928,113
1766483977343000000,61.93,113
1766483978344000000,62.931,113
1766483979346000000,63.93299975585938,113
1766483980347000000,64.934,114
1766483981348000000,65.935,114
1766483982350000000,66.93700024414062,115
1766483983351000000,67.938,115
1766483984352000000,68.939,116
1766483985353000000,69.94,116
1766483986354000000,70.94099975585938,117
1766483987356000000,71.943,116
1766483988357000000,72.944,116
1766483989357000000,73.944,117
1766483990359000000,74.946,118
1766483991360000000,75.947,118
1766483992361000000,76.948,119
1766483993357000000,77.944,119
1766483994358000000,78.94500024414063,120
1766483995359000000,79.946,121
1766483996360000000,80.947,122
1766483997361000000,81.948,122
1766483998362000000,82.94899975585938,123
1766483999364000000,83.951,122
1766484000364000000,84.951,122
1766484001365000000,85.952,122
1766484002365000000,86.952,123
1766484003366000000,87.95300024414063,124
1766484004367000000,88.954,124
1766484005368000000,89.955,123
1766484006369000000,90.956,123
1766484007370000000,91.95699975585937,124
1766484008371000000,92.958,123
1766484009372000000,93.959,123
1766484010373000000,94.96,122
1766484011373000000,95.96,121
1766484012374000000,96.96100024414062,120
1766484013375000000,97.962,120
1766484014375000000,98.962,119
1766484015376000000,99.963,118
1766484016377000000,100.964,117
1766484017378000000,101.96499975585938,117
1766484018379000000,102.966,116
1766484019380000000,103.967,116
1766484020381000000,104.968,115
1766484021382000000,105.96900024414063,114
1766484022383000000,106.97,113
1766484023384000000,107.971,112
1766484024386000000,108.97299975585938,111
1766484025387000000,109.974,109
1766484026388000000,110.975,108
1766484027389000000,111.976,107
1766484028390000000,112.97700024414063,107
1766484029391000000,113.978,107
1766484030393000000,114.98,106
1766484031394000000,115.98099975585937,106
1766484032396000000,116.983,106
1766484033397000000,117.984,105
1766484034398000000,118.98500024414062,0
1766484035400000000,119.987,105
1766484036401000000,120.988,105
1766484037402000000,121.98899975585938,104
1766484038403000000,122.99,104
1766484039404000000,123.991,103
1766484040405000000,124.992,103
1766484041406000000,125.99300024414063,102
1766484042407000000,126.994,101
1766484043408000000,127.995,100
1766484044409000000,128.996,98
1766484045410000000,129.99699975585938,99
1766484046412000000,130.999,98
1766484047413000000,132,100
1766484048414000000,133.0010002441406,100
1766484049415000000,134.002,101
1766484050416000000,135.003,100
1766484051418000000,136.0049997558594,99
1766484052419000000,137.006,100
1766484053420000000,138.007,101
1766484054421000000,139.008,102
1766484055423000000,140.01,102
1766484056425000000,141.012,101
1766484057426000000,142.01299975585937,101
1766484058428000000,143.015,101
1766484059429000000,144.016,102
1766484060430000000,145.01700024414063,103
1766484061431000000,146.018,102
1766484062432000000,147.019,101
1766484063433000000,148.02,101
1766484064434000000,149.02099975585938,101
1766484065435000000,150.022,100
1766484066436000000,151.023,98
1766484067437000000,152.024,97
1766484068438000000,153.0250002441406,96
1766484069440000000,154.027,97
1766484070442000000,155.0289997558594,97
1766484071443000000,156.03,99
1766484072444000000,157.031,100
1766484073446000000,158.03300024414062,101
1766484074447000000,159.034,101
1766484075448000000,160.035,101
1766484076450000000,161.03699975585937,101
1766484077451000000,162.038,100
1766484078453000000,163.04,100
1766484079454000000,164.04100024414063,100
1766484080456000000,165.043,100
1766484081457000000,166.044,101
1766484082459000000,167.046,102
