time,seconds_elapsed,bpm
1766400167858000000,-0.522000244140625,108
1766400169351000000,0.971,107
1766400170405000000,2.025,107
1766400171407000000,3.027,105
1766400172409000000,4.029,105
1766400173412000000,5.032,105
1766400174415000000,6.035,105
1766400175418000000,7.037999755859375,105
1766400176419000000,8.039,106
1766400177422000000,9.042000244140626,106
1766400178424000000,10.044,107
1766400179426000000,11.045999755859375,107
1766400180428000000,12.048,106
1766400181430000000,13.050000244140625,106
1766400182432000000,14.052,107
1766400183434000000,15.053999755859374,106
1766400184436000000,16.056,106
1766400185437000000,17.057,106
1766400186441000000,18.061,107
1766400187443000000,19.063,107
1766400188445000000,20.065,108
1766400189447000000,21.067,109
1766400190449000000,22.069,108
1766400191451000000,23.071,109
1766400192453000000,24.073,109
1766400193455000000,25.075,108
1766400194457000000,26.077,0
1766400195459000000,27.079,108
1766400196461000000,28.081,108
1766400197463000000,29.083,108
1766400198466000000,30.085999755859376,110
1766400199468000000,31.088,109
1766400200470000000,32.090000244140626,107
1766400201473000000,33.093,105
1766400202475000000,34.095,104
1766400203477000000,35.097,103
1766400204479000000,36.099,104
1766400205481000000,37.101,106
1766400206483000000,38.103,106
1766400207486000000,39.106000244140624,107
1766400208488000000,40.108,106
1766400209490000000,41.10999975585938,106
1766400210493000000,42.113,106
1766400211495000000,43.115,107
1766400212497000000,44.117,107
1766400213499000000,45.119,106
1766400214501000000,46.121,105
1766400215504000000,47.124,103
1766400216506000000,48.125999755859375,103
1766400217509000000,49.129,102
1766400218511000000,50.131,101
1766400219513000000,51.133,101
1766400220515000000,52.135,103
1766400221517000000,53.137,102
1766400222519000000,54.139,101
1766400223521000000,55.141,101
1766400224523000000,56.143,101
1766400225525000000,57.145,102
1766400226527000000,58.147,102
1766400227530000000,59.149999755859376,102
1766400228532000000,60.152,101
1766400229534000000,61.154000244140626,102
1766400230536000000,62.156,101
1766400231538000000,63.15799975585937,98
1766400232541000000,64.161,95
1766400233543000000,65.163,94
1766400234545000000,66.165,95
1766400235547000000,67.167,96
1766400236548000000,68.168,98
1766400237550000000,69.17000024414062,97
1766400238553000000,70.173,98
1766400239555000000,71.175,98
1766400240557000000,72.177,98
1766400241560000000,73.18,98
1766400242562000000,74.18199975585938,99
1766400243565000000,75.185,98
1766400244567000000,76.187,98
1766400245570000000,77.18999975585938,98
1766400246572000000,78.192,98
1766400247575000000,79.195,100
1766400248577000000,80.197,101
1766400249579000000,81.199,101
1766400250581000000,82.201,100
1766400251584000000,83.204,101
1766400252586000000,84.20599975585938,102
1766400253588000000,85.208,103
1766400254590000000,86.21000024414063,103
1766400255592000000,87.212,102
1766400256595000000,88.215,101
1766400258059000000,89.679,100
1766400259063000000,90.683,99
1766400260066000000,91.68599975585937,100
1766400261070000000,92.69000024414062,99
1766400262254000000,93.87400024414063,98
1766400263256000000,94.876,97
1766400264260000000,95.88,96
1766400265262000000,96.88200024414063,95
1766400266266000000,97.88599975585937,94
1766400267269000000,98.889,94
1766400268272000000,99.892,94
1766400269274000000,100.89399975585937,93
1766400270276000000,101.896,93
1766400271279000000,102.899,94
1766400272282000000,103.90199975585938,95
1766400273285000000,104.905,96
1766400274287000000,105.907,97
1766400275290000000,106.90999975585937,96
1766400276293000000,107.913,95
1766400277296000000,108.916,96
1766400279055000000,110.675,97
1766400280058000000,111.67799975585937,96
1766400281061000000,112.681,97
1766400282064000000,113.684,99
1766400283067000000,114.687,100
1766400284071000000,115.691,102
1766400285073000000,116.693,101
1766400286076000000,117.696,102
1766400287079000000,118.699,103
1766400288082000000,119.70199975585938,102
1766400289083000000,120.703,101
1766400290187000000,121.807,102
1766400291190000000,122.81000024414062,103
1766400292192000000,123.812,102
1766400293195000000,124.815,101
1766400294199000000,125.819,101
1766400295202000000,126.82199975585938,102
1766400296204000000,127.824,102
1766400297207000000,128.827,102
1766400298209000000,129.829,104
1766400299211000000,130.831,104
1766400300214000000,131.8340002441406,105
1766400301217000000,132.837,104
1766400302219000000,133.839,104
1766400303221000000,134.841,104
1766400304224000000,135.844,104
1766400305226000000,136.84599975585937,104
1766400306228000000,137.848,104
1766400307230000000,138.85000024414063,104
1766400308233000000,139.853,104
1766400309235000000,140.855,105
1766400310238000000,141.8580002441406,106
1766400311239000000,142.859,106
1766400312242000000,143.8619997558594,105
1766400313245000000,144.865,105
1766400314247000000,145.867,105
1766400315250000000,146.86999975585937,107
1766400316253000000,147.873,106
1766400317257000000,148.877,107
1766400318260000000,149.88,106
1766400319263000000,150.883,108
1766400320266000000,151.8859997558594,108
1766400321270000000,152.89000024414062,108
1766400322273000000,153.893,108
1766400323276000000,154.896,109
1766400324278000000,155.89800024414063,111
1766400325281000000,156.901,112
1766400326284000000,157.904,112
1766400327288000000,158.908,112
1766400328290000000,159.9099997558594,113
1766400329293000000,160.913,112
1766400330297000000,161.917,111
1766400331300000000,162.92,111
1766400332302000000,163.92200024414063,111
1766400333305000000,164.925,112
1766400334308000000,165.928,111
1766400335311000000,166.931,112
1766400336313000000,167.933,111
1766400337315000000,168.935,109
1766400338318000000,169.93800024414062,107
1766400339321000000,170.941,107
1766400340324000000,171.944,108
1766400341326000000,172.94600024414063,111
1766400342329000000,173.949,111
1766400343332000000,174.952,109
1766400344334000000,175.95400024414062,108
1766400345337000000,176.957,108
1766400346339000000,177.959,107
1766400347342000000,178.96200024414063,107
1766400348345000000,179.965,109
1766400349347000000,180.967,108
1766400350350000000,181.97000024414064,106
1766400351352000000,182.972,107
1766400352354000000,183.97399975585938,107
1766400353357000000,184.977,109
1766400354358000000,185.97800024414062,110
1766400355361000000,186.981,111
1766400356364000000,187.984,112
1766400357366000000,188.98600024414063,113
1766400358368000000,189.988,113
1766400359370000000,190.98999975585937,113
1766400360373000000,191.993,114
1766400361375000000,192.995,114
1766400362378000000,193.99799975585938,116
1766400363380000000,195,115
1766400364383000000,196.003,113
1766400365386000000,197.00599975585936,113
1766400366389000000,198.009,113
1766400367392000000,199.012,111
1766400368395000000,200.015,108
1766400369398000000,201.01800024414064,0
1766400370401000000,202.021,110
1766400371404000000,203.024,109
1766400372406000000,204.02600024414062,109
1766400373409000000,205.029,109
1766400374412000000,206.032,107
1766400375414000000,207.03400024414063,107
1766400376416000000,208.036,105
1766400377418000000,209.03799975585937,105
1766400378421000000,210.041,102
1766400379423000000,211.043,101
1766400380426000000,212.04599975585938,104
1766400381429000000,213.049,105
1766400382432000000,214.052,0
1766400383434000000,215.05399975585937,104
1766400384437000000,216.057,104
1766400385439000000,217.059,102
1766400386442000000,218.06199975585938,102
1766400387445000000,219.065,102
1766400388447000000,220.067,100
1766400389449000000,221.069,100
1766400390452000000,222.072,101
1766400391454000000,223.07400024414062,103
1766400392456000000,224.076,105
1766400393459000000,225.079,108
1766400394461000000,226.081,111
1766400395463000000,227.083,115
1766400396466000000,228.08599975585938,115
1766400397469000000,229.089,114
1766400398471000000,230.091,113
1766400399473000000,231.093,111
1766400400476000000,232.096,110
1766400401478000000,233.09800024414062,110
1766400402481000000,234.101,109
1766400403484000000,235.104,110
1766400404487000000,236.107,110
1766400405489000000,237.109,111
1766400406492000000,238.112,111
1766400407495000000,239.115,114
1766400408498000000,240.1179997558594,114
1766400409501000000,241.121,114
1766400410504000000,242.124,113
1766400411507000000,243.127,114
1766400412510000000,244.13000024414063,112
1766400413512000000,245.132,0
1766400414515000000,246.135,112
1766400415517000000,247.137,111
1766400416520000000,248.14,109
1766400417522000000,249.1419997558594,109
1766400418524000000,250.144,112
1766400419527000000,251.147,111
1766400420529000000,252.149,111
1766400421531000000,253.151,111
1766400422534000000,254.15400024414063,111
