time,seconds_elapsed,z,y,x
1765792819182876200,-0.042123779296875,7.429207801818848,-6.445190906524658,-1.2042834758758545
1765792819192655400,-0.0323447265625,7.429207801818848,-6.445190906524658,-1.2042834758758545
1765792819202465300,-0.02253466796875,7.316680431365967,-6.607996463775635,-1.1779472827911377
1765792819212344300,-0.01265576171875,7.357381820678711,-6.567295074462891,-1.280897855758667
1765792819222323700,-0.00267626953125,7.29034423828125,-6.493074893951416,-1.1659762859344482
1765792819232333600,0.00733349609375,7.354987621307373,-6.497863292694092,-1.2713210582733154
1765792819242343200,0.01734326171875,7.38132381439209,-6.615179061889648,-1.2880805730819702
1765792819252291800,0.027291748046875,7.333439826965332,-6.797138690948486,-1.3455413579940796
1765792819262332200,0.037332275390625,7.287950038909912,-6.811503887176514,-1.3646949529647827
1765792819272311600,0.0473115234375,7.295132637023926,-6.7277069091796875,-1.280897855758667
1765792819282321200,0.057321044921875,7.311892032623291,-6.596025466918945,-1.37906014919281
1765792819292270000,0.06727001953125,7.371747016906738,-6.588842868804932,-1.213860273361206
1765792819302310100,0.07731005859375,7.33583402633667,-6.406883716583252,-1.2689268589019775
1765792819312259000,0.087259033203125,7.354987621307373,-6.428431510925293,-1.3024457693099976
1765792819322207700,0.097207763671875,7.268796443939209,-6.610390663146973,-1.2545616626739502
1765792819332156400,0.107156494140625,7.204153060913086,-6.703764915466309,-1.259350061416626
1765792819342166300,0.117166259765625,7.309497833251953,-6.782773494720459,-1.3048399686813354
1765792819352115000,0.127114990234375,7.304709434509277,-6.670246124267578,-1.290474772453308
1765792819362124800,0.137124755859375,7.352593421936035,-6.658275127410889,-1.3503297567367554
1765792819372104000,0.14710400390625,7.42681360244751,-6.631938934326172,-1.280897855758667
1765792819382083300,0.157083251953125,7.398083209991455,-6.471527099609375,-1.278503656387329
1765792819412082000,0.18708203125,7.328651428222656,-6.584054470062256,-1.290474772453308
1765792819422061300,0.197061279296875,7.304709434509277,-6.576871871948242,-1.3192051649093628
1765792819432040400,0.20704052734375,7.304709434509277,-6.63433313369751,-1.2306196689605713
1765792819442050300,0.21705029296875,7.331045627593994,-6.617573261260986,-1.2761094570159912
1765792819452029400,0.227029541015625,7.3669586181640625,-6.552929878234863,-1.213860273361206
1765792819462008800,0.2370087890625,7.319074630737305,-6.698976516723633,-1.256955862045288
1765792819472018400,0.247018310546875,7.271190643310547,-6.641515731811523,-1.1994950771331787
1765792819481997800,0.256997802734375,7.261613845825195,-6.593631267547607,-1.1803414821624756
1765792819492007400,0.26700732421875,7.275979042053223,-6.521805286407471,-1.3048399686813354
1765792819522006300,0.29700634765625,7.398083209991455,-6.581660270690918,-1.3024457693099976
1765792819531985700,0.306985595703125,7.371747016906738,-6.543353080749512,-1.2880805730819702
1765792819541964800,0.31696484375,7.307103633880615,-6.574477672576904,-1.3623007535934448
1765792819551944000,0.32694384765625,7.386112213134766,-6.543353080749512,-1.3311761617660522
1765792819561953800,0.336953857421875,7.359776020050049,-6.452373504638672,-1.2761094570159912
1765792819571902500,0.34690234375,7.316680431365967,-6.567295074462891,-1.314416766166687
1765792819581912300,0.356912353515625,7.331045627593994,-6.641515731811523,-1.2856862545013428
1765792819591891500,0.366891357421875,7.407660007476807,-6.617573261260986,-1.2401964664459229
1765792819601901300,0.3769013671875,7.340622425079346,-6.722918510437012,-1.2449848651885986
1765792819641879300,0.41687939453125,7.402871608734131,-6.50025749206543,-1.3263877630233765
1765792819651828000,0.426827880859375,7.378929615020752,-6.466738700866699,-1.3311761617660522
1765792819661807400,0.436807373046875,7.319074630737305,-6.624756336212158,-1.235408067703247
1765792819671817200,0.446817138671875,7.343016624450684,-6.572083473205566,-1.3311761617660522
1765792819681826800,0.456826904296875,7.316680431365967,-6.452373504638672,-1.2737152576446533
1765792819691836700,0.466836669921875,7.316680431365967,-6.517016887664795,-1.3072341680526733
1765792819701846300,0.47684619140625,7.285555839538574,-6.605602264404297,-1.3503297567367554
1765792819711825700,0.48682568359375,7.285555839538574,-6.636727333068848,-1.3862427473068237
1765792819731814700,0.506814697265625,7.319074630737305,-6.524199485778809,-1.2401964664459229
1765792819741824500,0.516824462890625,7.354987621307373,-6.531382083892822,-1.3048399686813354
1765792819751803600,0.5268037109375,7.371747016906738,-6.536170482635498,-1.2856862545013428
1765792819761813500,0.5368134765625,7.417236804962158,-6.564900875091553,-1.3024457693099976
1765792819771823000,0.546822998046875,7.405265808105469,-6.509834289550781,-1.3215993642807007
1765792819781833000,0.5568330078125,7.402871608734131,-6.421248912811279,-1.2832920551300049
1765792819791781600,0.56678173828125,7.393294811248779,-6.145915985107422,-1.2976573705673218
1765792819801761000,0.576760986328125,7.393294811248779,-6.145915985107422,-1.2976573705673218
1765792819811740200,0.586740234375,7.371747016906738,-6.246472358703613,-1.2737152576446533
1765792819831729200,0.606729248046875,7.316680431365967,-6.205770969390869,-1.2306196689605713
1765792819841769500,0.61676953125,7.280767440795898,-6.332663536071777,-1.192312479019165
1765792819851779300,0.626779296875,7.326257228851318,-6.260837554931641,-1.2521674633026123
1765792819861789000,0.636788818359375,7.484274387359619,-6.066906929016113,-1.1994950771331787
1765792819881778000,0.65677783203125,7.8960771560668945,-5.6910176277160645,-1.5705963373184204
1765792819891757300,0.66675732421875,8.063671112060547,-5.310339450836182,-1.8363527059555054
1765792819901736400,0.676736328125,8.446743965148926,-4.867412090301514,-2.1475989818573
1765792819911746300,0.686746337890625,8.71728801727295,-4.7405195236206055,-2.2433669567108154
1765792819921756200,0.696756103515625,8.669404029846191,-4.618414878845215,-2.2697031497955322
1765792819951693800,0.72669384765625,8.710105895996094,-5.0900726318359375,-2.185906171798706
1765792819961703700,0.73670361328125,8.724471092224121,-4.4939165115356445,-2.3127987384796143
1765792819971682800,0.746682861328125,8.528146743774414,-4.20421838760376,-2.4013843536376953
1765792819981662000,0.756661865234375,8.334216117858887,-4.125209331512451,-2.5115175247192383
1765792819991641300,0.766641357421875,8.159439086914062,-4.271255970001221,-2.4157495498657227
1765792820001651200,0.776651123046875,7.9631147384643555,-4.1611223220825195,-2.609679937362671
1765792820011660800,0.786660888671875,7.752425193786621,-4.158728122711182,-2.6623523235321045
1765792820021640200,0.79664013671875,7.429207801818848,-4.592078685760498,-2.911349296569824
1765792820031619300,0.806619384765625,6.854599475860596,-5.461174011230469,-2.896984100341797
1765792820041659600,0.81665966796875,6.358999729156494,-6.4595561027526855,-2.8203697204589844
1765792820051638800,0.826638671875,5.872976779937744,-7.453149795532227,-2.7461493015289307
1765792820061648600,0.836648681640625,5.485116004943848,-8.379706382751465,-2.3989901542663574
1765792820071627800,0.846627685546875,5.125985622406006,-9.725247383117676,-2.1811177730560303
1765792820081668000,0.856668212890625,4.72376012802124,-10.273519515991211,-2.0614075660705566
1765792820091678000,0.866677978515625,4.323928356170654,-10.225635528564453,-1.886630892753601
1765792820101657000,0.876656982421875,3.6846764087677,-10.007762908935547,-1.9943699836730957
1765792820111636500,0.886636474609375,3.1890766620635986,-9.770736694335938,-1.9177556037902832
1765792820121646000,0.89664599609375,2.6886885166168213,-9.488221168518066,-1.900996208190918
1765792820131625500,0.90662548828125,2.470816135406494,-9.169792175292969,-1.7764976024627686
1765792820141635300,0.91663525390625,1.9800047874450684,-9.033323287963867,-1.7860745191574097
1765792820161654800,0.93665478515625,0.9457096457481384,-9.718064308166504,-1.2497732639312744
1765792820171634000,0.946634033203125,0.5482721924781799,-10.089165687561035,-1.0965443849563599
1765792820181674200,0.95667431640625,0.35434186458587646,-10.105925559997559,-1.1037269830703735
1765792820191684000,0.96668408203125,0.16998831927776337,-9.81143856048584,-1.0342950820922852
1765792820201693700,0.976693603515625,0.16759411990642548,-10.323798179626465,-1.0247182846069336
1765792820211673000,0.986673095703125,0.035913024097681046,-10.984597206115723,-1.0462661981582642
1765792820221652200,0.99665234375,0.05985504388809204,-11.202469825744629,-0.8882488012313843
1765792820231631600,1.006631591796875,-0.11971008777618408,-10.69489860534668,-0.5530605912208557
1765792820241672000,1.016671875,-0.17477671802043915,-10.031704902648926,-0.8762778043746948
1765792820271609600,1.046609619140625,-0.016759412363171577,-9.014169692993164,-1.4963760375976562
1765792820281619500,1.056619384765625,-0.6775590777397156,-8.779537200927734,-1.5849615335464478
1765792820291598600,1.0665986328125,-1.3958195447921753,-9.193734169006348,-1.5921441316604614
1765792820301577700,1.07657763671875,-1.7166426181793213,-9.773131370544434,-1.86508309841156
1765792820311557000,1.08655712890625,-1.8962076902389526,-10.235212326049805,-1.7310078144073486
1765792820321597400,1.096597412109375,-2.1308395862579346,-10.553641319274902,-1.7573440074920654
1765792820331576600,1.10657666015625,-2.5546131134033203,-10.220847129821777,-1.7741034030914307
1765792820341586400,1.11658642578125,-2.741360902786255,-10.06043529510498,-1.6400281190872192
1765792820351596000,1.126595947265625,-2.695871114730835,-9.813833236694336,-1.5610195398330688
1765792820371615700,1.14661572265625,-2.1523873805999756,-9.404424667358398,-1.7860745191574097
