time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1765792819202465300,-0.02253466796875,-0.18244397640228271,0.7233947515487671,0.04521400108933449,0.055647000670433044,0.1662580966949463,-0.3582490086555481,0.9308680295944214
1765792819212344300,-0.01265576171875,-0.1818920075893402,0.7240999341011047,0.0447859987616539,0.055539000779390335,0.16521230340003967,-0.3585340082645416,0.9307850003242493
1765792819222323700,-0.00267626953125,-0.182513028383255,0.7237832546234131,0.04510900005698204,0.055684998631477356,0.166106715798378,-0.3584260046482086,0.9308030009269714
1765792819232333600,0.00733349609375,-0.18248218297958374,0.7236507534980774,0.04510100185871124,0.05568600073456764,0.1660614311695099,-0.35836300253868103,0.9308270215988159
1765792819242343200,0.01734326171875,-0.18253999948501587,0.7222205996513367,0.04518299922347069,0.05578700080513954,0.1660844385623932,-0.35770300030708313,0.9310709834098816
1765792819252291800,0.027291748046875,-0.182628333568573,0.7223086357116699,0.04515000060200691,0.05582800135016441,0.16605828702449799,-0.3577449917793274,0.9310539960861206
1765792819262332200,0.037332275390625,-0.18498480319976807,0.7251046895980835,0.04614099860191345,0.05616400018334389,0.16944099962711334,-0.3591870069503784,0.930429995059967
1765792819272311600,0.0473115234375,-0.18666374683380127,0.7279271483421326,0.046799998730421066,0.05635099858045578,0.17186132073402405,-0.36059901118278503,0.929839015007019
1765792819292270000,0.06727001953125,-0.18667739629745483,0.7276673913002014,0.04675599932670593,0.056393999606370926,0.17173926532268524,-0.36047598719596863,0.929885983467102
1765792819302310100,0.07731005859375,-0.1866837739944458,0.7274827361106873,0.04672800004482269,0.056421998888254166,0.1716582030057907,-0.36038801074028015,0.9299209713935852
1765792819312259000,0.087259033203125,-0.18671585619449615,0.7273157835006714,0.046688999980688095,0.05646299943327904,0.1715657114982605,-0.36030900478363037,0.929951012134552
1765792819322207700,0.097207763671875,-0.1868380308151245,0.7271332740783691,0.0466650016605854,0.05653500184416771,0.17153845727443695,-0.36022698879241943,0.9299790263175964
1765792819332156400,0.107156494140625,-0.18700481951236725,0.7271251082420349,0.046620000153779984,0.05661899968981743,0.17150524258613586,-0.36022600531578064,0.9299769997596741
1765792819342166300,0.117166259765625,-0.18717169761657715,0.7272024750709534,0.04658599942922592,0.05669200047850609,0.17150656878948212,-0.3602660000324249,0.9299579858779907
1765792819352115000,0.127114990234375,-0.1873321682214737,0.7272034883499146,0.046574000269174576,0.056759998202323914,0.17154301702976227,-0.36027100682258606,0.9299529790878296
1765792819362124800,0.137124755859375,-0.18743768334388733,0.7270873188972473,0.04656599834561348,0.05681400001049042,0.17155200242996216,-0.3602199852466583,0.9299700260162354
1765792819372104000,0.14710400390625,-0.187492236495018,0.7268633246421814,0.04659000039100647,0.05684399977326393,0.1715964674949646,-0.3601189851760864,0.9300060272216797
1765792819412082000,0.18708203125,-0.18746158480644226,0.725750207901001,0.0465020015835762,0.056954000145196915,0.17125479876995087,-0.3595939874649048,0.9302070140838623
1765792819422061300,0.197061279296875,-0.18758462369441986,0.7256301641464233,0.04646100103855133,0.05702799931168556,0.17119909822940826,-0.3595399856567383,0.9302250146865845
1765792819432040400,0.20704052734375,-0.1877032220363617,0.7255086898803711,0.04645200073719025,0.05708799883723259,0.17121024429798126,-0.35948699712753296,0.9302420020103455
1765792819442050300,0.21705029296875,-0.18778929114341736,0.7253809571266174,0.046411000192165375,0.05714799836277962,0.17113922536373138,-0.3594279885292053,0.9302629828453064
1765792819452029400,0.227029541015625,-0.18789125978946686,0.7252790927886963,0.04638100042939186,0.05720800161361694,0.17110124230384827,-0.3593820035457611,0.930279016494751
1765792819462008800,0.2370087890625,-0.18798747658729553,0.7251120209693909,0.04633000120520592,0.05727899819612503,0.17100761830806732,-0.3593040108680725,0.9303079843521118
1765792819472018400,0.247018310546875,-0.1880534142255783,0.7250127792358398,0.04627799987792969,0.057333000004291534,0.17090874910354614,-0.3592570126056671,0.9303249716758728
1765792819481997800,0.256997802734375,-0.18811362981796265,0.7249404191970825,0.0462380014359951,0.057378001511096954,0.17083688080310822,-0.35922300815582275,0.9303370118141174
1765792819522006300,0.29700634765625,-0.18823622167110443,0.7242527008056641,0.046261001378297806,0.057472001761198044,0.17084665596485138,-0.3589079976081848,0.9304519891738892
1765792819531985700,0.306985595703125,-0.18831762671470642,0.7240944504737854,0.046307001262903214,0.057498998939991,0.17095692455768585,-0.3588399887084961,0.9304739832878113
