time,seconds_elapsed,bpm
1766401358348000000,-1.788,114
1766401359350000000,-0.785999755859375,96
1766401360391000000,0.255,96
1766401361393000000,1.257,96
1766401362394000000,2.257999755859375,96
1766401363396000000,3.26,96
1766401364397000000,4.261,96
1766401365399000000,5.263,97
1766401366400000000,6.264,99
1766401367401000000,7.265,98
1766401368404000000,8.268,97
1766401369405000000,9.269,100
1766401370408000000,10.272,100
1766401371410000000,11.273999755859375,103
1766401372411000000,12.275,103
1766401373413000000,13.277,103
1766401374416000000,14.28,102
1766401375418000000,15.281999755859376,101
1766401376419000000,16.283,101
1766401377421000000,17.285,100
1766401378423000000,18.287,101
1766401379426000000,19.289999755859377,101
1766401380428000000,20.292,102
1766401381430000000,21.294000244140626,102
1766401382432000000,22.296,102
1766401383434000000,23.297999755859376,102
1766401384436000000,24.3,102
1766401385439000000,25.303,101
1766401386441000000,26.305,101
1766401387443000000,27.307,100
1766401388445000000,28.309,101
1766401389448000000,29.312,101
1766401390449000000,30.313,102
1766401391451000000,31.315,102
1766401392453000000,32.317,102
1766401393455000000,33.319,101
1766401394458000000,34.32199975585937,101
1766401395460000000,35.324,101
1766401396462000000,36.32600024414062,0
1766401397464000000,37.328,101
1766401398467000000,38.331,101
1766401399469000000,39.333,100
1766401400472000000,40.336,100
1766401401474000000,41.33799975585937,100
1766401402477000000,42.341,101
1766401403479000000,43.343,101
1766401404481000000,44.345,100
1766401405483000000,45.347,98
1766401406485000000,46.349,97
1766401407487000000,47.351,98
1766401408489000000,48.353,96
1766401409491000000,49.355,94
1766401410493000000,50.357,92
1766401411496000000,51.36,92
1766401412499000000,52.363,91
1766401413502000000,53.36600024414062,91
1766401414504000000,54.368,91
1766401415507000000,55.371,92
1766401416510000000,56.374000244140625,92
1766401417513000000,57.377,92
1766401418515000000,58.379,93
1766401419518000000,59.38200024414063,93
1766401420521000000,60.385,94
1766401421524000000,61.388,95
1766401422527000000,62.391,95
1766401423529000000,63.393,97
1766401424532000000,64.396,96
