time,seconds_elapsed,z,y,x
1766401358187253800,-1.948746337890625,8.095186233520508,-4.074074745178223,-3.747035503387451
1766401358207303700,-1.9286962890625,8.103068351745605,-4.06028938293457,-3.7449607849121094
1766401358227384300,-1.90861572265625,8.094945907592773,-4.0793867111206055,-3.741769313812256
1766401358237394200,-1.898605712890625,8.090837478637695,-4.088576793670654,-3.7406258583068848
1766401358247403800,-1.88859619140625,8.086847305297852,-4.092896461486816,-3.744528293609619
1766401358257413600,-1.87858642578125,8.082342147827148,-4.095643997192383,-3.7512435913085938
1766401358267454000,-1.868546142578125,8.079010009765625,-4.096775054931641,-3.7571828365325928
1766401358277494300,-1.858505615234375,8.079488754272461,-4.089968204498291,-3.763564109802246
1766401358287504000,-1.84849609375,8.085332870483398,-4.074664115905762,-3.7676100730895996
1766401358297513700,-1.838486328125,8.094886779785156,-4.053111553192139,-3.77034330368042
1766401358357572400,-1.778427734375,8.101114273071289,-4.05039644241333,-3.759871006011963
1766401358377591800,-1.758408203125,8.097339630126953,-4.059426784515381,-3.7582623958587646
1766401358387632000,-1.748367919921875,8.100859642028809,-4.052767753601074,-3.757863998413086
1766401358397641700,-1.738358154296875,8.103009223937988,-4.0487189292907715,-3.757591724395752
1766401358427793200,-1.708206787109375,8.111055374145508,-4.031818389892578,-3.758405923843384
1766401358437803000,-1.698197021484375,8.113960266113281,-4.026422500610352,-3.757918357849121
1766401358447843300,-1.68815673828125,8.11473274230957,-4.027279376983643,-3.7553322315216064
1766401358457883600,-1.678116455078125,8.113994598388672,-4.029298782348633,-3.754760980606079
1766401358467893200,-1.668106689453125,8.113731384277344,-4.030170440673828,-3.7543959617614746
1766401358477903000,-1.658096923828125,8.11318302154541,-4.029021739959717,-3.7568135261535645
1766401358487913000,-1.648087158203125,8.11422061920166,-4.025814533233643,-3.7580089569091797
1766401358507932400,-1.628067626953125,8.116434097290039,-4.021936416625977,-3.757380962371826
1766401358537931300,-1.59806884765625,8.116490364074707,-4.023519992828369,-3.7555654048919678
1766401358547940900,-1.58805908203125,8.11548900604248,-4.024592876434326,-3.756577491760254
1766401358557920300,-1.578079833984375,8.115291595458984,-4.024575233459473,-3.757023572921753
1766401358567929900,-1.568070068359375,8.11634635925293,-4.023979187011719,-3.755382776260376
1766401358577939700,-1.558060302734375,8.11620044708252,-4.024175643920898,-3.7554869651794434
1766401358587949600,-1.548050537109375,8.116987228393555,-4.023060321807861,-3.7549822330474854
1766401358597959200,-1.538040771484375,8.119163513183594,-4.018805027008057,-3.7548341751098633
1766401358607969000,-1.528031005859375,8.11978816986084,-4.017680644989014,-3.754685878753662
1766401358617948200,-1.5180517578125,8.121417999267578,-4.015858173370361,-3.7531118392944336
1766401358648008200,-1.48799169921875,8.124338150024414,-4.0148162841796875,-3.7479007244110107
1766401358658017800,-1.477982177734375,8.12336540222168,-4.016973972320557,-3.7476980686187744
1766401358668027600,-1.467972412109375,8.124906539916992,-4.016089916229248,-3.74530291557312
1766401358678037200,-1.457962646484375,8.125032424926758,-4.016709327697754,-3.7443668842315674
1766401358688047000,-1.447952880859375,8.125754356384277,-4.016336917877197,-3.743199110031128
