Date,Time,Steps
2025.11.14 14:01:00,14:01:00,22
2025.11.14 14:15:00,14:15:00,17
2025.11.14 14:17:00,14:17:00,13
2025.11.14 14:18:00,14:18:00,5
2025.11.14 14:20:00,14:20:00,68
2025.11.14 14:21:00,14:21:00,34
2025.11.14 14:22:00,14:22:00,55
2025.11.14 14:23:00,14:23:00,18
2025.11.14 14:25:00,14:25:00,16
2025.11.14 14:26:00,14:26:00,7
2025.11.14 14:27:00,14:27:00,21
2025.11.14 14:28:00,14:28:00,48
2025.11.14 14:29:00,14:29:00,31
2025.11.14 14:30:00,14:30:00,1
2025.11.14 14:36:00,14:36:00,12
2025.11.14 14:51:00,14:51:00,101
2025.11.14 14:52:00,14:52:00,94
2025.11.14 14:53:00,14:53:00,70
2025.11.14 14:54:00,14:54:00,15
2025.11.14 14:57:00,14:57:00,17
2025.11.14 14:58:00,14:58:00,98
2025.11.14 14:59:00,14:59:00,48
2025.11.14 15:01:00,15:01:00,33
2025.11.14 15:02:00,15:02:00,2
2025.11.14 15:04:00,15:04:00,31
2025.11.14 15:06:00,15:06:00,25
2025.11.14 15:07:00,15:07:00,12
2025.11.14 15:09:00,15:09:00,13
2025.11.14 15:13:00,15:13:00,27
2025.11.14 15:14:00,15:14:00,15
2025.11.14 15:15:00,15:15:00,4
2025.11.14 15:16:00,15:16:00,6
2025.11.14 15:17:00,15:17:00,61
2025.11.14 15:18:00,15:18:00,35
2025.11.14 15:20:00,15:20:00,33
2025.11.14 15:21:00,15:21:00,19
2025.11.14 15:23:00,15:23:00,23
2025.11.14 15:24:00,15:24:00,28
2025.11.14 15:26:00,15:26:00,39
2025.11.14 15:27:00,15:27:00,16
2025.11.14 15:28:00,15:28:00,25
2025.11.14 15:29:00,15:29:00,8
2025.11.14 15:32:00,15:32:00,18
2025.11.14 15:35:00,15:35:00,7
2025.11.14 15:36:00,15:36:00,5
2025.11.14 15:37:00,15:37:00,13
2025.11.14 15:41:00,15:41:00,34
2025.11.14 15:42:00,15:42:00,30
2025.11.14 15:43:00,15:43:00,12
2025.11.14 15:52:00,15:52:00,9
2025.11.14 15:53:00,15:53:00,17
2025.11.14 15:54:00,15:54:00,23
2025.11.14 15:56:00,15:56:00,39
2025.11.14 16:00:00,16:00:00,3
2025.11.14 16:01:00,16:01:00,11
2025.11.14 16:03:00,16:03:00,32
2025.11.14 16:05:00,16:05:00,9
2025.11.14 16:09:00,16:09:00,14
2025.11.14 16:10:00,16:10:00,39
2025.11.14 16:12:00,16:12:00,3
2025.11.14 16:13:00,16:13:00,30
2025.11.14 16:14:00,16:14:00,44
2025.11.14 16:15:00,16:15:00,36
2025.11.14 16:16:00,16:16:00,9
2025.11.14 16:17:00,16:17:00,13
2025.11.14 16:18:00,16:18:00,24
2025.11.14 16:19:00,16:19:00,7
2025.11.14 16:20:00,16:20:00,11
2025.11.14 16:21:00,16:21:00,29
2025.11.14 16:22:00,16:22:00,61
2025.11.14 16:23:00,16:23:00,15
2025.11.14 16:24:00,16:24:00,11
2025.11.14 16:26:00,16:26:00,23
2025.11.14 16:27:00,16:27:00,22
2025.11.14 16:29:00,16:29:00,37
2025.11.14 16:30:00,16:30:00,10
2025.11.14 16:31:00,16:31:00,51
2025.11.14 16:35:00,16:35:00,42
2025.11.14 16:38:00,16:38:00,65
2025.11.14 16:41:00,16:41:00,52
2025.11.14 16:42:00,16:42:00,109
2025.11.14 16:43:00,16:43:00,114
2025.11.14 16:44:00,16:44:00,48
2025.11.14 16:51:00,16:51:00,14
2025.11.14 16:52:00,16:52:00,17
2025.11.14 17:29:00,17:29:00,27
2025.11.14 17:32:00,17:32:00,14
2025.11.14 17:33:00,17:33:00,42
2025.11.14 17:34:00,17:34:00,31
2025.11.14 17:35:00,17:35:00,55
2025.11.14 17:36:00,17:36:00,63
2025.11.14 17:37:00,17:37:00,4
2025.11.14 17:38:00,17:38:00,12
2025.11.14 17:39:00,17:39:00,80
2025.11.14 18:06:00,18:06:00,2
2025.11.14 18:07:00,18:07:00,27
2025.11.14 18:15:00,18:15:00,51
2025.11.14 18:18:00,18:18:00,11
2025.11.14 18:20:00,18:20:00,36
2025.11.14 18:22:00,18:22:00,26
2025.11.14 18:26:00,18:26:00,6
2025.11.14 18:28:00,18:28:00,23
2025.11.14 18:30:00,18:30:00,4
2025.11.14 18:33:00,18:33:00,4
2025.11.14 18:36:00,18:36:00,12
