Date,Time,Steps
2025.11.17 10:15:00,10:15:00,31
2025.11.17 10:16:00,10:16:00,47
2025.11.17 10:17:00,10:17:00,34
2025.11.17 10:18:00,10:18:00,97
2025.11.17 10:19:00,10:19:00,39
2025.11.17 10:20:00,10:20:00,1
2025.11.17 10:21:00,10:21:00,69
2025.11.17 10:22:00,10:22:00,129
2025.11.17 10:23:00,10:23:00,121
2025.11.17 10:24:00,10:24:00,123
2025.11.17 10:25:00,10:25:00,121
2025.11.17 10:26:00,10:26:00,122
2025.11.17 10:27:00,10:27:00,117
2025.11.17 10:28:00,10:28:00,120
2025.11.17 10:29:00,10:29:00,121
2025.11.17 10:30:00,10:30:00,81
2025.11.17 10:31:00,10:31:00,53
2025.11.17 10:35:00,10:35:00,70
2025.11.17 10:36:00,10:36:00,92
2025.11.17 10:48:00,10:48:00,27
2025.11.17 10:49:00,10:49:00,74
2025.11.17 10:52:00,10:52:00,25
2025.11.17 10:53:00,10:53:00,46
2025.11.17 10:58:00,10:58:00,56
2025.11.17 10:59:00,10:59:00,58
2025.11.17 11:00:00,11:00:00,4
2025.11.17 11:01:00,11:01:00,60
2025.11.17 11:02:00,11:02:00,57
2025.11.17 11:03:00,11:03:00,8
2025.11.17 11:04:00,11:04:00,53
2025.11.17 11:05:00,11:05:00,6
2025.11.17 11:08:00,11:08:00,57
2025.11.17 11:09:00,11:09:00,38
2025.11.17 11:11:00,11:11:00,24
2025.11.17 11:12:00,11:12:00,10
2025.11.17 11:14:00,11:14:00,59
2025.11.17 11:15:00,11:15:00,22
2025.11.17 11:16:00,11:16:00,11
2025.11.17 11:17:00,11:17:00,16
2025.11.17 11:18:00,11:18:00,21
2025.11.17 11:20:00,11:20:00,44
2025.11.17 11:21:00,11:21:00,5
2025.11.17 11:22:00,11:22:00,4
2025.11.17 11:23:00,11:23:00,40
2025.11.17 11:24:00,11:24:00,45
2025.11.17 11:25:00,11:25:00,13
2025.11.17 11:27:00,11:27:00,44
2025.11.17 11:28:00,11:28:00,20
2025.11.17 11:29:00,11:29:00,4
2025.11.17 11:30:00,11:30:00,28
2025.11.17 11:31:00,11:31:00,26
2025.11.17 11:33:00,11:33:00,72
2025.11.17 11:34:00,11:34:00,7
2025.11.17 11:36:00,11:36:00,26
2025.11.17 11:37:00,11:37:00,34
2025.11.17 11:39:00,11:39:00,23
2025.11.17 11:40:00,11:40:00,9
2025.11.17 11:42:00,11:42:00,32
2025.11.17 11:43:00,11:43:00,4
2025.11.17 11:44:00,11:44:00,24
2025.11.17 11:45:00,11:45:00,15
2025.11.17 11:47:00,11:47:00,65
2025.11.17 11:48:00,11:48:00,77
2025.11.17 11:56:00,11:56:00,27
2025.11.17 11:59:00,11:59:00,65
2025.11.17 12:05:00,12:05:00,30
2025.11.17 12:06:00,12:06:00,16
2025.11.17 12:07:00,12:07:00,13
2025.11.17 12:08:00,12:08:00,15
2025.11.17 12:10:00,12:10:00,27
2025.11.17 12:12:00,12:12:00,46
2025.11.17 12:13:00,12:13:00,10
2025.11.17 12:14:00,12:14:00,11
2025.11.17 12:15:00,12:15:00,9
2025.11.17 12:16:00,12:16:00,20
2025.11.17 12:18:00,12:18:00,35
2025.11.17 12:19:00,12:19:00,39
2025.11.17 12:20:00,12:20:00,31
2025.11.17 12:23:00,12:23:00,49
2025.11.17 12:24:00,12:24:00,59
2025.11.17 12:25:00,12:25:00,39
2025.11.17 12:31:00,12:31:00,25
2025.11.17 12:32:00,12:32:00,11
2025.11.17 12:35:00,12:35:00,51
2025.11.17 12:36:00,12:36:00,15
2025.11.17 12:41:00,12:41:00,41
2025.11.17 12:42:00,12:42:00,94
2025.11.17 12:43:00,12:43:00,57
2025.11.17 12:44:00,12:44:00,16
2025.11.17 12:45:00,12:45:00,34
2025.11.17 12:46:00,12:46:00,4
2025.11.17 12:47:00,12:47:00,44
2025.11.17 12:48:00,12:48:00,40
2025.11.17 12:49:00,12:49:00,39
2025.11.17 12:51:00,12:51:00,42
2025.11.17 12:52:00,12:52:00,15
2025.11.17 12:53:00,12:53:00,46
2025.11.17 12:54:00,12:54:00,1
2025.11.17 12:55:00,12:55:00,11
2025.11.17 12:58:00,12:58:00,38
2025.11.17 12:59:00,12:59:00,77
2025.11.17 13:00:00,13:00:00,115
2025.11.17 13:01:00,13:01:00,118
2025.11.17 13:02:00,13:02:00,115
2025.11.17 13:03:00,13:03:00,65
2025.11.17 13:04:00,13:04:00,117
2025.11.17 13:05:00,13:05:00,116
2025.11.17 13:06:00,13:06:00,116
2025.11.17 13:07:00,13:07:00,118
2025.11.17 13:08:00,13:08:00,116
2025.11.17 13:09:00,13:09:00,77
2025.11.17 13:10:00,13:10:00,45
2025.11.17 13:11:00,13:11:00,44
2025.11.17 13:13:00,13:13:00,20
2025.11.17 13:14:00,13:14:00,2
2025.11.17 13:15:00,13:15:00,16
2025.11.17 13:16:00,13:16:00,47
2025.11.17 13:25:00,13:25:00,12
2025.11.17 13:30:00,13:30:00,13
2025.11.17 13:31:00,13:31:00,12
2025.11.17 13:33:00,13:33:00,15
2025.11.17 13:47:00,13:47:00,15
2025.11.17 13:50:00,13:50:00,51
2025.11.17 13:51:00,13:51:00,75
2025.11.17 13:52:00,13:52:00,43
2025.11.17 13:53:00,13:53:00,38
2025.11.17 13:54:00,13:54:00,7
2025.11.17 14:02:00,14:02:00,58
2025.11.17 14:03:00,14:03:00,70
2025.11.17 14:04:00,14:04:00,58
2025.11.17 15:15:00,15:15:00,30
2025.11.17 15:16:00,15:16:00,27
2025.11.17 16:10:00,16:10:00,49
2025.11.17 16:12:00,16:12:00,37
2025.11.17 16:13:00,16:13:00,24
2025.11.17 16:14:00,16:14:00,58
2025.11.17 16:39:00,16:39:00,3
2025.11.17 16:40:00,16:40:00,28
2025.11.17 17:26:00,17:26:00,19
2025.11.17 17:28:00,17:28:00,52
2025.11.17 17:29:00,17:29:00,87
2025.11.17 17:30:00,17:30:00,42
2025.11.17 17:34:00,17:34:00,36
2025.11.17 17:35:00,17:35:00,18
2025.11.17 17:37:00,17:37:00,19
2025.11.17 17:38:00,17:38:00,54
2025.11.17 17:40:00,17:40:00,23
2025.11.17 17:41:00,17:41:00,31
2025.11.17 17:48:00,17:48:00,6
2025.11.17 17:49:00,17:49:00,5
2025.11.17 17:50:00,17:50:00,18
2025.11.17 17:51:00,17:51:00,19
2025.11.17 17:52:00,17:52:00,44
2025.11.17 17:53:00,17:53:00,43
2025.11.17 18:07:00,18:07:00,26
2025.11.17 18:08:00,18:08:00,18
2025.11.17 18:10:00,18:10:00,15
2025.11.17 18:21:00,18:21:00,25
2025.11.17 18:23:00,18:23:00,18
2025.11.17 18:24:00,18:24:00,39
2025.11.17 18:33:00,18:33:00,24
2025.11.17 18:34:00,18:34:00,28
2025.11.17 18:35:00,18:35:00,12
2025.11.17 18:37:00,18:37:00,18
2025.11.17 18:38:00,18:38:00,30
2025.11.17 18:39:00,18:39:00,56
2025.11.17 18:53:00,18:53:00,9
2025.11.17 18:54:00,18:54:00,36
2025.11.17 18:56:00,18:56:00,38
2025.11.17 18:59:00,18:59:00,11
2025.11.17 19:01:00,19:01:00,13
2025.11.17 19:35:00,19:35:00,25
2025.11.17 19:37:00,19:37:00,66
2025.11.17 20:14:00,20:14:00,44
2025.11.17 20:18:00,20:18:00,34
2025.11.17 20:20:00,20:20:00,52
2025.11.17 20:21:00,20:21:00,35
2025.11.17 20:22:00,20:22:00,23
2025.11.17 20:23:00,20:23:00,16
2025.11.17 20:24:00,20:24:00,9
2025.11.17 20:31:00,20:31:00,23
2025.11.17 20:36:00,20:36:00,14
2025.11.17 20:37:00,20:37:00,1
2025.11.17 20:39:00,20:39:00,5
2025.11.17 20:41:00,20:41:00,30
2025.11.17 20:42:00,20:42:00,19
2025.11.17 20:46:00,20:46:00,23
2025.11.17 20:47:00,20:47:00,11
