Date,Time,Steps
2025.11.12 10:27:00,10:27:00,15
2025.11.12 10:28:00,10:28:00,58
2025.11.12 10:44:00,10:44:00,52
2025.11.12 10:48:00,10:48:00,27
2025.11.12 10:51:00,10:51:00,6
2025.11.12 10:52:00,10:52:00,93
2025.11.12 10:55:00,10:55:00,38
2025.11.12 10:56:00,10:56:00,71
2025.11.12 10:57:00,10:57:00,92
2025.11.12 10:58:00,10:58:00,138
2025.11.12 10:59:00,10:59:00,148
2025.11.12 11:00:00,11:00:00,109
2025.11.12 11:01:00,11:01:00,52
2025.11.12 11:05:00,11:05:00,14
2025.11.12 11:17:00,11:17:00,47
2025.11.12 11:22:00,11:22:00,40
2025.11.12 11:23:00,11:23:00,45
2025.11.12 11:26:00,11:26:00,23
2025.11.12 11:28:00,11:28:00,25
2025.11.12 11:29:00,11:29:00,30
2025.11.12 11:30:00,11:30:00,63
2025.11.12 11:31:00,11:31:00,46
2025.11.12 11:32:00,11:32:00,11
2025.11.12 11:33:00,11:33:00,94
2025.11.12 11:34:00,11:34:00,8
2025.11.12 11:38:00,11:38:00,1
2025.11.12 11:39:00,11:39:00,34
2025.11.12 11:42:00,11:42:00,40
2025.11.12 11:44:00,11:44:00,41
2025.11.12 11:45:00,11:45:00,18
2025.11.12 11:47:00,11:47:00,3
2025.11.12 11:48:00,11:48:00,13
2025.11.12 11:50:00,11:50:00,10
2025.11.12 11:51:00,11:51:00,43
2025.11.12 11:54:00,11:54:00,12
2025.11.12 11:55:00,11:55:00,13
2025.11.12 11:56:00,11:56:00,8
2025.11.12 11:57:00,11:57:00,17
2025.11.12 12:00:00,12:00:00,14
2025.11.12 12:03:00,12:03:00,2
2025.11.12 12:04:00,12:04:00,26
2025.11.12 12:05:00,12:05:00,25
2025.11.12 12:07:00,12:07:00,9
2025.11.12 12:08:00,12:08:00,45
2025.11.12 12:12:00,12:12:00,2
2025.11.12 12:15:00,12:15:00,42
2025.11.12 12:16:00,12:16:00,32
2025.11.12 12:17:00,12:17:00,50
2025.11.12 12:19:00,12:19:00,49
2025.11.12 12:28:00,12:28:00,53
2025.11.12 12:29:00,12:29:00,14
2025.11.12 12:32:00,12:32:00,31
2025.11.12 12:33:00,12:33:00,9
2025.11.12 12:39:00,12:39:00,17
2025.11.12 12:40:00,12:40:00,27
2025.11.12 12:43:00,12:43:00,80
2025.11.12 12:45:00,12:45:00,61
2025.11.12 12:46:00,12:46:00,19
2025.11.12 12:49:00,12:49:00,23
2025.11.12 12:50:00,12:50:00,12
2025.11.12 12:51:00,12:51:00,73
2025.11.12 12:53:00,12:53:00,54
2025.11.12 12:54:00,12:54:00,5
2025.11.12 12:56:00,12:56:00,38
2025.11.12 13:02:00,13:02:00,49
2025.11.12 13:03:00,13:03:00,1
2025.11.12 13:04:00,13:04:00,13
2025.11.12 13:06:00,13:06:00,28
2025.11.12 13:07:00,13:07:00,7
2025.11.12 13:08:00,13:08:00,25
2025.11.12 13:09:00,13:09:00,47
2025.11.12 13:11:00,13:11:00,9
2025.11.12 13:12:00,13:12:00,44
2025.11.12 13:16:00,13:16:00,29
2025.11.12 13:19:00,13:19:00,7
2025.11.12 13:22:00,13:22:00,22
2025.11.12 13:24:00,13:24:00,18
2025.11.12 13:27:00,13:27:00,16
2025.11.12 13:28:00,13:28:00,22
2025.11.12 13:31:00,13:31:00,78
2025.11.12 13:32:00,13:32:00,17
2025.11.12 13:36:00,13:36:00,10
2025.11.12 13:37:00,13:37:00,85
2025.11.12 13:43:00,13:43:00,42
2025.11.12 13:44:00,13:44:00,44
2025.11.12 13:45:00,13:45:00,18
2025.11.12 13:46:00,13:46:00,54
2025.11.12 13:48:00,13:48:00,50
2025.11.12 13:54:00,13:54:00,22
2025.11.12 14:00:00,14:00:00,33
2025.11.12 14:01:00,14:01:00,21
2025.11.12 14:08:00,14:08:00,24
2025.11.12 14:12:00,14:12:00,25
2025.11.12 14:21:00,14:21:00,12
2025.11.12 14:22:00,14:22:00,59
2025.11.12 14:24:00,14:24:00,50
2025.11.12 14:25:00,14:25:00,68
2025.11.12 14:26:00,14:26:00,17
2025.11.12 14:27:00,14:27:00,45
2025.11.12 14:28:00,14:28:00,12
2025.11.12 14:35:00,14:35:00,27
2025.11.12 14:36:00,14:36:00,14
2025.11.12 14:37:00,14:37:00,21
2025.11.12 14:38:00,14:38:00,56
2025.11.12 14:43:00,14:43:00,9
2025.11.12 14:45:00,14:45:00,27
2025.11.12 14:46:00,14:46:00,19
2025.11.12 14:47:00,14:47:00,38
2025.11.12 14:48:00,14:48:00,62
2025.11.12 14:49:00,14:49:00,23
2025.11.12 14:55:00,14:55:00,21
2025.11.12 14:56:00,14:56:00,66
2025.11.12 14:57:00,14:57:00,3
2025.11.12 14:59:00,14:59:00,97
2025.11.12 15:57:00,15:57:00,26
2025.11.12 16:02:00,16:02:00,87
2025.11.12 16:05:00,16:05:00,40
2025.11.12 16:08:00,16:08:00,52
2025.11.12 16:09:00,16:09:00,21
2025.11.12 16:10:00,16:10:00,17
2025.11.12 16:11:00,16:11:00,36
2025.11.12 16:12:00,16:12:00,8
2025.11.12 16:13:00,16:13:00,18
2025.11.12 16:23:00,16:23:00,9
2025.11.12 16:24:00,16:24:00,52
2025.11.12 16:25:00,16:25:00,16
2025.11.12 16:29:00,16:29:00,32
2025.11.12 16:33:00,16:33:00,30
2025.11.12 16:34:00,16:34:00,35
2025.11.12 16:35:00,16:35:00,23
2025.11.12 16:36:00,16:36:00,45
2025.11.12 16:37:00,16:37:00,13
2025.11.12 16:38:00,16:38:00,56
2025.11.12 16:40:00,16:40:00,11
2025.11.12 16:42:00,16:42:00,6
2025.11.12 16:46:00,16:46:00,22
2025.11.12 16:47:00,16:47:00,26
2025.11.12 17:03:00,17:03:00,11
2025.11.12 17:04:00,17:04:00,116
2025.11.12 17:05:00,17:05:00,89
2025.11.12 17:06:00,17:06:00,27
2025.11.12 17:12:00,17:12:00,36
2025.11.12 18:34:00,18:34:00,34
2025.11.12 18:35:00,18:35:00,14
2025.11.12 18:40:00,18:40:00,26
2025.11.12 18:41:00,18:41:00,32
2025.11.12 19:49:00,19:49:00,75
2025.11.12 19:50:00,19:50:00,8
2025.11.12 19:51:00,19:51:00,33
2025.11.12 19:52:00,19:52:00,24
2025.11.12 19:55:00,19:55:00,14
2025.11.12 20:31:00,20:31:00,41
2025.11.12 20:32:00,20:32:00,113
2025.11.12 20:33:00,20:33:00,95
2025.11.12 20:34:00,20:34:00,109
2025.11.12 20:35:00,20:35:00,18
2025.11.12 20:36:00,20:36:00,1
2025.11.12 20:38:00,20:38:00,6
2025.11.12 20:43:00,20:43:00,17
2025.11.12 20:44:00,20:44:00,4
2025.11.12 20:45:00,20:45:00,20
2025.11.12 20:46:00,20:46:00,10
2025.11.12 20:47:00,20:47:00,13
2025.11.12 20:59:00,20:59:00,62
2025.11.12 21:00:00,21:00:00,9
2025.11.12 21:01:00,21:01:00,23
2025.11.12 21:10:00,21:10:00,12
2025.11.12 21:11:00,21:11:00,24
2025.11.12 21:12:00,21:12:00,40
2025.11.12 21:13:00,21:13:00,30
