Date,Time,Steps
2025.11.21 11:33:00,11:33:00,53
2025.11.21 11:35:00,11:35:00,17
2025.11.21 11:38:00,11:38:00,39
2025.11.21 11:39:00,11:39:00,48
2025.11.21 11:40:00,11:40:00,76
2025.11.21 11:41:00,11:41:00,53
2025.11.21 11:42:00,11:42:00,35
2025.11.21 11:43:00,11:43:00,59
2025.11.21 11:44:00,11:44:00,36
2025.11.21 11:48:00,11:48:00,53
2025.11.21 11:49:00,11:49:00,32
2025.11.21 11:50:00,11:50:00,11
2025.11.21 11:52:00,11:52:00,19
2025.11.21 11:53:00,11:53:00,62
2025.11.21 11:54:00,11:54:00,56
2025.11.21 11:55:00,11:55:00,76
2025.11.21 11:57:00,11:57:00,13
2025.11.21 12:02:00,12:02:00,8
2025.11.21 12:06:00,12:06:00,35
2025.11.21 12:07:00,12:07:00,25
2025.11.21 12:10:00,12:10:00,79
2025.11.21 12:14:00,12:14:00,5
2025.11.21 12:15:00,12:15:00,99
2025.11.21 12:16:00,12:16:00,8
2025.11.21 12:17:00,12:17:00,3
2025.11.21 12:18:00,12:18:00,7
2025.11.21 12:19:00,12:19:00,13
2025.11.21 12:21:00,12:21:00,44
2025.11.21 12:22:00,12:22:00,38
2025.11.21 12:23:00,12:23:00,4
2025.11.21 12:24:00,12:24:00,34
2025.11.21 12:25:00,12:25:00,14
2025.11.21 12:30:00,12:30:00,24
2025.11.21 12:31:00,12:31:00,6
2025.11.21 12:36:00,12:36:00,32
2025.11.21 12:37:00,12:37:00,32
2025.11.21 12:40:00,12:40:00,19
2025.11.21 12:44:00,12:44:00,21
2025.11.21 12:47:00,12:47:00,20
2025.11.21 12:48:00,12:48:00,35
2025.11.21 12:49:00,12:49:00,9
2025.11.21 12:50:00,12:50:00,6
2025.11.21 12:51:00,12:51:00,24
2025.11.21 12:56:00,12:56:00,41
2025.11.21 12:59:00,12:59:00,24
2025.11.21 13:00:00,13:00:00,23
2025.11.21 13:01:00,13:01:00,4
2025.11.21 13:03:00,13:03:00,34
2025.11.21 13:05:00,13:05:00,66
2025.11.21 13:09:00,13:09:00,18
2025.11.21 13:10:00,13:10:00,11
2025.11.21 13:12:00,13:12:00,21
2025.11.21 13:13:00,13:13:00,15
2025.11.21 13:17:00,13:17:00,33
2025.11.21 13:19:00,13:19:00,5
2025.11.21 13:21:00,13:21:00,34
2025.11.21 13:22:00,13:22:00,27
2025.11.21 13:23:00,13:23:00,4
2025.11.21 13:24:00,13:24:00,63
2025.11.21 13:25:00,13:25:00,1
2025.11.21 13:27:00,13:27:00,67
2025.11.21 13:28:00,13:28:00,70
2025.11.21 13:29:00,13:29:00,39
2025.11.21 13:31:00,13:31:00,7
2025.11.21 13:32:00,13:32:00,63
2025.11.21 13:34:00,13:34:00,39
2025.11.21 13:39:00,13:39:00,22
2025.11.21 13:40:00,13:40:00,27
2025.11.21 13:41:00,13:41:00,70
2025.11.21 13:43:00,13:43:00,47
2025.11.21 13:45:00,13:45:00,10
2025.11.21 13:47:00,13:47:00,61
2025.11.21 13:48:00,13:48:00,1
2025.11.21 13:49:00,13:49:00,8
2025.11.21 13:53:00,13:53:00,41
2025.11.21 14:00:00,14:00:00,11
2025.11.21 14:02:00,14:02:00,36
2025.11.21 14:04:00,14:04:00,50
2025.11.21 14:05:00,14:05:00,23
2025.11.21 14:06:00,14:06:00,11
2025.11.21 14:08:00,14:08:00,24
2025.11.21 14:11:00,14:11:00,25
2025.11.21 14:14:00,14:14:00,10
2025.11.21 14:15:00,14:15:00,3
2025.11.21 14:16:00,14:16:00,17
2025.11.21 14:17:00,14:17:00,32
2025.11.21 14:18:00,14:18:00,23
2025.11.21 14:19:00,14:19:00,50
2025.11.21 14:24:00,14:24:00,25
2025.11.21 14:25:00,14:25:00,14
2025.11.21 14:29:00,14:29:00,25
2025.11.21 14:30:00,14:30:00,36
2025.11.21 14:31:00,14:31:00,4
2025.11.21 14:32:00,14:32:00,34
