time,seconds_elapsed,bpm
1766480650073000000,-3.487,93
1766480651996000000,-1.564,94
1766480652997000000,-0.563,96
1766480653997000000,0.437,97
1766480654998000000,1.438000244140625,99
1766480655998000000,2.438000244140625,101
1766480656998000000,3.438000244140625,101
1766480657999000000,4.439,102
1766480658999000000,5.439,102
1766480660000000000,6.44,103
1766480661000000000,7.44,103
1766480662001000000,8.441,102
1766480663002000000,9.441999755859374,102
1766480664003000000,10.443,102
1766480665004000000,11.444,101
1766480666003000000,12.443,102
1766480667004000000,13.444,104
1766480668005000000,14.445,107
1766480669006000000,15.446000244140626,108
1766480670006000000,16.446000244140624,107
1766480671007000000,17.447,110
1766480672008000000,18.448,110
1766480673008000000,19.448,110
1766480674009000000,20.449,110
1766480675010000000,21.449999755859373,109
1766480676011000000,22.451,109
1766480677012000000,23.452,108
1766480678013000000,24.453,109
1766480679014000000,25.454000244140627,110
1766480680015000000,26.455,111
1766480682002000000,28.441999755859374,112
1766480683003000000,29.443,112
1766480684004000000,30.444,113
1766480685005000000,31.445,113
1766480686006000000,32.44600024414063,113
1766480687007000000,33.447,112
1766480688007000000,34.447,112
1766480689008000000,35.448,111
1766480690009000000,36.449,112
1766480691010000000,37.44999975585937,112
1766480692010000000,38.44999975585937,113
1766480693011000000,39.451,111
1766480694012000000,40.452,111
1766480695012000000,41.452,111
1766480696013000000,42.453,112
1766480697014000000,43.45400024414062,112
1766480698015000000,44.455,112
1766480699016000000,45.456,112
1766480700017000000,46.457,111
1766480701017000000,47.457,111
1766480702018000000,48.457999755859376,112
1766480703019000000,49.459,112
1766480704019000000,50.459,112
1766480705019000000,51.459,111
1766480706020000000,52.46,111
1766480707020000000,53.46,109
1766480708020000000,54.46,108
1766480709020000000,55.46,108
1766480710021000000,56.461,110
1766480711022000000,57.462000244140626,112
1766480712022000000,58.462000244140626,111
1766480713023000000,59.463,110
1766480714023000000,60.463,109
1766480715024000000,61.464,109
1766480716024000000,62.464,109
1766480717025000000,63.465,108
1766480718025000000,64.465,107
1766480719026000000,65.46599975585937,107
1766480720027000000,66.467,106
1766480721027000000,67.467,106
1766480722027000000,68.467,105
1766480723027000000,69.467,106
1766480724028000000,70.468,107
1766480725028000000,71.468,107
1766480726028000000,72.468,106
1766480727028000000,73.468,106
1766480728029000000,74.469,106
1766480729029000000,75.469,106
1766480730030000000,76.47000024414062,107
1766480731030000000,77.47000024414062,108
1766480732030000000,78.47000024414062,108
1766480733030000000,79.47000024414062,107
1766480734030000000,80.47000024414062,108
1766480735030000000,81.47000024414062,108
1766480736030000000,82.47000024414062,108
1766480737031000000,83.471,107
1766480738031000000,84.471,107
1766480739031000000,85.471,107
1766480740032000000,86.472,108
1766480741032000000,87.472,107
1766480742033000000,88.473,106
1766480743034000000,89.47399975585938,106
1766480744034000000,90.47399975585938,106
1766480745034000000,91.47399975585938,106
1766480746035000000,92.475,106
1766480747035000000,93.475,106
1766480748035000000,94.475,106
1766480749035000000,95.475,107
1766480750036000000,96.476,106
