time,seconds_elapsed,z,y,x
1766402558165701600,-0.91629833984375,-33.36000061035156,15.719999313354492,-18.959999084472656
1766402558195731000,-0.88626904296875,-32.880001068115234,15.839999198913574,-18.420000076293945
1766402558205771300,-0.876228759765625,-32.57999801635742,15.420000076293945,-18.899999618530273
1766402558215780900,-0.86621923828125,-32.39999771118164,14.880000114440918,-19.31999969482422
1766402558225821200,-0.8561787109375,-32.279998779296875,14.519999504089355,-19.799999237060547
1766402558235800300,-0.84619970703125,-33.18000030517578,15.119999885559082,-19.799999237060547
1766402558245840600,-0.836159423828125,-32.39999771118164,15,-19.979999542236328
1766402558265860400,-0.8161396484375,-32.099998474121094,14.819999694824219,-19.559999465942383
1766402558275870000,-0.806130126953125,-32.34000015258789,14.880000114440918,-19.3799991607666
1766402558335959000,-0.746041015625,-31.079999923706055,14.9399995803833,-19.439998626708984
1766402558345969000,-0.736031005859375,-31.260000228881836,14.880000114440918,-19.799999237060547
1766402558355978800,-0.726021240234375,-31.67999839782715,15.779999732971191,-19.31999969482422
1766402558375998200,-0.706001708984375,-32.39999771118164,16.31999969482422,-19.31999969482422
1766402558386069000,-0.695930908203125,-31.85999870300293,15.839999198913574,-19.979999542236328
1766402558396139800,-0.685860107421875,-32.279998779296875,15.420000076293945,-20.100000381469727
1766402558426199600,-0.655800537109375,-31.439998626708984,14.699999809265137,-19.439998626708984
1766402558436240000,-0.645760009765625,-31.01999855041504,14.699999809265137,-18.84000015258789
1766402558456228900,-0.625771240234375,-30.35999870300293,14.699999809265137,-17.940000534057617
1766402558476279000,-0.605720947265625,-31.31999969482422,15.299999237060547,-18.65999984741211
1766402558486288600,-0.59571142578125,-32.57999801635742,15.420000076293945,-18.420000076293945
1766402558526358300,-0.555641845703125,-31.619998931884766,15.239999771118164,-18.479999542236328
1766402558536337700,-0.545662353515625,-31.920000076293945,15.359999656677246,-18.119998931884766
1766402558546347300,-0.53565283203125,-31.619998931884766,15.779999732971191,-18.35999870300293
1766402558556357000,-0.525642822265625,-31.439998626708984,15.65999984741211,-18.84000015258789
1766402558576407000,-0.505593017578125,-30.53999900817871,15.479999542236328,-18.35999870300293
1766402558586417000,-0.4955830078125,-31.139999389648438,15.299999237060547,-18.65999984741211
1766402558606436400,-0.475563720703125,-32.279998779296875,15.779999732971191,-19.079999923706055
1766402558616446200,-0.4655537109375,-32.81999969482422,15.719999313354492,-19.260000228881836
1766402558626456000,-0.4555439453125,-32.939998626708984,15.719999313354492,-18.600000381469727
1766402558636496100,-0.44550390625,-32.279998779296875,15.779999732971191,-18.719999313354492
1766402558646506000,-0.435493896484375,-32.15999984741211,15.779999732971191,-17.81999969482422
1766402558656515800,-0.425484130859375,-31.439998626708984,15.719999313354492,-17.520000457763672
1766402558666525400,-0.415474609375,-31.799999237060547,16.3799991607666,-17.639999389648438
1766402558676535300,-0.405464599609375,-31.559999465942383,16.260000228881836,-17.279998779296875
1766402558686575600,-0.39542431640625,-31.85999870300293,15.899999618530273,-18.35999870300293
1766402558696585500,-0.38541455078125,-32.70000076293945,15.899999618530273,-18.899999618530273
1766402558726614500,-0.355385498046875,-33.05999755859375,16.19999885559082,-18.779998779296875
1766402558736624400,-0.345375732421875,-32.34000015258789,15.65999984741211,-18.959999084472656
1766402558746664700,-0.335335205078125,-32.34000015258789,14.579999923706055,-19.3799991607666
1766402558756705000,-0.325294921875,-32.57999801635742,14.75999927520752,-19.559999465942383
1766402558766714600,-0.315285400390625,-32.63999938964844,15.119999885559082,-19.439998626708984
1766402558776724500,-0.305275634765625,-33.36000061035156,15,-19.5
1766402558896902700,-0.185097412109375,-32.099998474121094,15.65999984741211,-18.299999237060547
1766402558906943000,-0.17505712890625,-32.7599983215332,15.719999313354492,-19.020000457763672
1766402558916952800,-0.165047119140625,-32.15999984741211,15.719999313354492,-19.260000228881836
1766402558926962400,-0.15503759765625,-32.63999938964844,15.719999313354492,-18.65999984741211
1766402558936941800,-0.14505810546875,-32.52000045776367,15.719999313354492,-18.65999984741211
1766402558947012600,-0.1349873046875,-32.7599983215332,15.59999942779541,-18.299999237060547
1766402558977042000,-0.1049580078125,-32.52000045776367,15.65999984741211,-18.779998779296875
1766402559017142000,-0.06485791015625,-32.34000015258789,16.020000457763672,-18.899999618530273
1766402559037161500,-0.044838623046875,-31.67999839782715,16.079999923706055,-19.020000457763672
1766402559047171300,-0.03482861328125,-31.799999237060547,15.65999984741211,-19.19999885559082
1766402559057150500,-0.024849609375,-31.67999839782715,15.960000038146973,-19.3799991607666
1766402559067190800,-0.014809326171875,-31.799999237060547,16.260000228881836,-19.260000228881836
1766402559077200600,-0.00479931640625,-32.7599983215332,16.5,-18.959999084472656
1766402559087210200,0.005210205078125,-31.67999839782715,16.559999465942383,-18.719999313354492
1766402559097189600,0.015189697265625,-31.5,15.359999656677246,-19.020000457763672
