Date,Time,Steps
2025.11.10 10:02:00,10:02:00,11
2025.11.10 10:03:00,10:03:00,3
2025.11.10 10:08:00,10:08:00,18
2025.11.10 10:14:00,10:14:00,47
2025.11.10 10:15:00,10:15:00,27
2025.11.10 10:17:00,10:17:00,33
2025.11.10 10:18:00,10:18:00,59
2025.11.10 10:19:00,10:19:00,70
2025.11.10 10:20:00,10:20:00,46
2025.11.10 10:21:00,10:21:00,35
2025.11.10 10:22:00,10:22:00,28
2025.11.10 10:30:00,10:30:00,15
2025.11.10 10:36:00,10:36:00,57
2025.11.10 10:37:00,10:37:00,30
2025.11.10 10:38:00,10:38:00,53
2025.11.10 10:42:00,10:42:00,42
2025.11.10 10:43:00,10:43:00,39
2025.11.10 10:47:00,10:47:00,56
2025.11.10 10:57:00,10:57:00,70
2025.11.10 10:58:00,10:58:00,45
2025.11.10 10:59:00,10:59:00,35
2025.11.10 11:04:00,11:04:00,9
2025.11.10 11:08:00,11:08:00,7
2025.11.10 11:09:00,11:09:00,10
2025.11.10 11:13:00,11:13:00,16
2025.11.10 11:14:00,11:14:00,24
2025.11.10 11:15:00,11:15:00,37
2025.11.10 11:16:00,11:16:00,9
2025.11.10 11:17:00,11:17:00,13
2025.11.10 11:18:00,11:18:00,20
2025.11.10 11:19:00,11:19:00,42
2025.11.10 11:21:00,11:21:00,76
2025.11.10 11:22:00,11:22:00,46
2025.11.10 11:23:00,11:23:00,26
2025.11.10 11:25:00,11:25:00,11
2025.11.10 11:27:00,11:27:00,28
2025.11.10 11:28:00,11:28:00,33
2025.11.10 11:29:00,11:29:00,26
2025.11.10 11:31:00,11:31:00,19
2025.11.10 11:32:00,11:32:00,36
2025.11.10 11:35:00,11:35:00,33
2025.11.10 11:38:00,11:38:00,46
2025.11.10 11:41:00,11:41:00,22
2025.11.10 11:42:00,11:42:00,65
2025.11.10 11:43:00,11:43:00,2
2025.11.10 11:44:00,11:44:00,16
2025.11.10 11:45:00,11:45:00,39
2025.11.10 11:47:00,11:47:00,18
2025.11.10 11:48:00,11:48:00,32
2025.11.10 11:50:00,11:50:00,47
2025.11.10 11:51:00,11:51:00,27
2025.11.10 11:53:00,11:53:00,60
