Date,Time,Steps
2025.11.06 09:02:00,09:02:00,1
2025.11.06 09:03:00,09:03:00,57
2025.11.06 09:15:00,09:15:00,14
2025.11.06 09:21:00,09:21:00,31
2025.11.06 09:22:00,09:22:00,24
2025.11.06 09:23:00,09:23:00,37
2025.11.06 09:24:00,09:24:00,52
2025.11.06 09:25:00,09:25:00,87
2025.11.06 09:26:00,09:26:00,41
2025.11.06 09:27:00,09:27:00,16
2025.11.06 09:29:00,09:29:00,19
2025.11.06 09:32:00,09:32:00,72
2025.11.06 09:33:00,09:33:00,41
2025.11.06 10:16:00,10:16:00,56
2025.11.06 10:17:00,10:17:00,114
2025.11.06 10:18:00,10:18:00,23
2025.11.06 10:50:00,10:50:00,50
2025.11.06 10:51:00,10:51:00,46
2025.11.06 10:52:00,10:52:00,39
2025.11.06 10:53:00,10:53:00,26
2025.11.06 10:54:00,10:54:00,15
2025.11.06 10:55:00,10:55:00,35
2025.11.06 10:56:00,10:56:00,54
2025.11.06 10:57:00,10:57:00,12
2025.11.06 11:00:00,11:00:00,1
2025.11.06 11:03:00,11:03:00,5
2025.11.06 11:06:00,11:06:00,2
2025.11.06 11:08:00,11:08:00,2
2025.11.06 11:12:00,11:12:00,70
2025.11.06 11:13:00,11:13:00,48
2025.11.06 11:14:00,11:14:00,70
2025.11.06 11:17:00,11:17:00,15
2025.11.06 11:19:00,11:19:00,16
2025.11.06 11:21:00,11:21:00,95
2025.11.06 11:23:00,11:23:00,58
2025.11.06 11:25:00,11:25:00,27
2025.11.06 11:28:00,11:28:00,3
2025.11.06 11:32:00,11:32:00,45
2025.11.06 11:35:00,11:35:00,44
2025.11.06 11:36:00,11:36:00,24
2025.11.06 11:37:00,11:37:00,24
2025.11.06 11:38:00,11:38:00,17
2025.11.06 11:39:00,11:39:00,17
2025.11.06 11:40:00,11:40:00,33
2025.11.06 11:41:00,11:41:00,13
2025.11.06 11:42:00,11:42:00,35
2025.11.06 11:43:00,11:43:00,38
2025.11.06 11:44:00,11:44:00,12
2025.11.06 11:45:00,11:45:00,24
2025.11.06 11:46:00,11:46:00,4
2025.11.06 11:47:00,11:47:00,21
2025.11.06 11:48:00,11:48:00,8
2025.11.06 11:51:00,11:51:00,22
2025.11.06 11:53:00,11:53:00,53
2025.11.06 11:55:00,11:55:00,31
2025.11.06 11:56:00,11:56:00,27
2025.11.06 11:58:00,11:58:00,46
2025.11.06 11:59:00,11:59:00,49
2025.11.06 12:02:00,12:02:00,91
2025.11.06 12:03:00,12:03:00,12
2025.11.06 12:06:00,12:06:00,29
2025.11.06 12:10:00,12:10:00,43
2025.11.06 12:11:00,12:11:00,8
2025.11.06 12:14:00,12:14:00,28
2025.11.06 12:19:00,12:19:00,76
2025.11.06 12:20:00,12:20:00,3
2025.11.06 12:26:00,12:26:00,6
2025.11.06 12:28:00,12:28:00,29
2025.11.06 12:29:00,12:29:00,74
2025.11.06 12:30:00,12:30:00,28
2025.11.06 12:32:00,12:32:00,27
2025.11.06 12:33:00,12:33:00,6
2025.11.06 12:36:00,12:36:00,5
2025.11.06 12:37:00,12:37:00,31
2025.11.06 12:38:00,12:38:00,7
2025.11.06 12:40:00,12:40:00,43
2025.11.06 12:41:00,12:41:00,1
2025.11.06 12:44:00,12:44:00,20
2025.11.06 12:46:00,12:46:00,17
2025.11.06 12:47:00,12:47:00,47
2025.11.06 12:48:00,12:48:00,25
2025.11.06 12:50:00,12:50:00,21
2025.11.06 12:52:00,12:52:00,3
2025.11.06 12:54:00,12:54:00,17
2025.11.06 12:55:00,12:55:00,48
2025.11.06 12:57:00,12:57:00,42
2025.11.06 12:58:00,12:58:00,39
2025.11.06 12:59:00,12:59:00,6
2025.11.06 13:00:00,13:00:00,19
2025.11.06 13:01:00,13:01:00,46
2025.11.06 13:02:00,13:02:00,21
2025.11.06 13:03:00,13:03:00,26
2025.11.06 13:04:00,13:04:00,7
2025.11.06 13:05:00,13:05:00,15
2025.11.06 13:08:00,13:08:00,8
2025.11.06 13:13:00,13:13:00,13
2025.11.06 13:14:00,13:14:00,112
2025.11.06 13:15:00,13:15:00,7
2025.11.06 13:17:00,13:17:00,26
2025.11.06 13:19:00,13:19:00,17
2025.11.06 13:20:00,13:20:00,14
2025.11.06 13:22:00,13:22:00,31
2025.11.06 13:23:00,13:23:00,55
2025.11.06 13:24:00,13:24:00,17
2025.11.06 13:26:00,13:26:00,3
2025.11.06 13:28:00,13:28:00,11
2025.11.06 13:29:00,13:29:00,23
2025.11.06 13:30:00,13:30:00,34
2025.11.06 13:32:00,13:32:00,12
2025.11.06 13:33:00,13:33:00,14
2025.11.06 13:34:00,13:34:00,94
2025.11.06 13:38:00,13:38:00,47
2025.11.06 13:40:00,13:40:00,67
2025.11.06 13:41:00,13:41:00,37
2025.11.06 13:42:00,13:42:00,44
2025.11.06 13:44:00,13:44:00,7
2025.11.06 13:45:00,13:45:00,3
2025.11.06 13:46:00,13:46:00,16
2025.11.06 13:58:00,13:58:00,70
2025.11.06 13:59:00,13:59:00,73
2025.11.06 14:00:00,14:00:00,41
2025.11.06 14:01:00,14:01:00,12
2025.11.06 14:07:00,14:07:00,14
2025.11.06 14:19:00,14:19:00,7
2025.11.06 14:21:00,14:21:00,11
2025.11.06 14:22:00,14:22:00,12
2025.11.06 14:24:00,14:24:00,23
2025.11.06 14:25:00,14:25:00,53
2025.11.06 14:26:00,14:26:00,18
2025.11.06 14:27:00,14:27:00,45
2025.11.06 14:28:00,14:28:00,44
2025.11.06 14:29:00,14:29:00,129
2025.11.06 14:30:00,14:30:00,63
2025.11.06 14:31:00,14:31:00,49
2025.11.06 14:32:00,14:32:00,67
2025.11.06 14:35:00,14:35:00,22
2025.11.06 14:36:00,14:36:00,82
2025.11.06 14:37:00,14:37:00,6
2025.11.06 14:42:00,14:42:00,59
2025.11.06 14:43:00,14:43:00,56
2025.11.06 14:44:00,14:44:00,15
2025.11.06 14:56:00,14:56:00,48
2025.11.06 14:57:00,14:57:00,17
2025.11.06 14:58:00,14:58:00,40
2025.11.06 14:59:00,14:59:00,62
2025.11.06 15:00:00,15:00:00,48
2025.11.06 15:01:00,15:01:00,29
2025.11.06 16:33:00,16:33:00,38
2025.11.06 16:34:00,16:34:00,56
2025.11.06 16:35:00,16:35:00,1
2025.11.06 16:38:00,16:38:00,21
2025.11.06 16:39:00,16:39:00,12
2025.11.06 16:40:00,16:40:00,19
2025.11.06 16:42:00,16:42:00,13
2025.11.06 16:43:00,16:43:00,23
2025.11.06 16:55:00,16:55:00,31
2025.11.06 17:19:00,17:19:00,36
2025.11.06 18:01:00,18:01:00,41
2025.11.06 18:14:00,18:14:00,38
2025.11.06 18:15:00,18:15:00,65
2025.11.06 18:16:00,18:16:00,72
2025.11.06 18:20:00,18:20:00,59
2025.11.06 18:41:00,18:41:00,43
2025.11.06 18:42:00,18:42:00,15
2025.11.06 18:46:00,18:46:00,39
2025.11.06 19:13:00,19:13:00,17
2025.11.06 19:14:00,19:14:00,37
2025.11.06 19:52:00,19:52:00,63
2025.11.06 19:53:00,19:53:00,101
2025.11.06 19:54:00,19:54:00,36
2025.11.06 19:55:00,19:55:00,23
2025.11.06 20:00:00,20:00:00,11
2025.11.06 20:01:00,20:01:00,4
2025.11.06 20:02:00,20:02:00,61
2025.11.06 20:03:00,20:03:00,27
2025.11.06 20:05:00,20:05:00,20
2025.11.06 20:07:00,20:07:00,10
2025.11.06 20:08:00,20:08:00,57
2025.11.06 20:09:00,20:09:00,33
2025.11.06 20:10:00,20:10:00,49
2025.11.06 20:12:00,20:12:00,55
2025.11.06 20:13:00,20:13:00,23
2025.11.06 20:14:00,20:14:00,42
2025.11.06 20:15:00,20:15:00,10
2025.11.06 20:16:00,20:16:00,8
2025.11.06 20:18:00,20:18:00,58
2025.11.06 20:20:00,20:20:00,21
2025.11.06 20:25:00,20:25:00,52
2025.11.06 20:26:00,20:26:00,11
2025.11.06 20:27:00,20:27:00,2
2025.11.06 20:28:00,20:28:00,14
2025.11.06 20:30:00,20:30:00,7
2025.11.06 20:50:00,20:50:00,12
2025.11.06 20:51:00,20:51:00,14
2025.11.06 20:52:00,20:52:00,20
2025.11.06 20:54:00,20:54:00,8
2025.11.06 20:55:00,20:55:00,1
2025.11.06 20:58:00,20:58:00,21
2025.11.06 21:01:00,21:01:00,15
2025.11.06 21:02:00,21:02:00,9
2025.11.06 21:03:00,21:03:00,16
2025.11.06 21:04:00,21:04:00,32
2025.11.06 21:08:00,21:08:00,37
2025.11.06 21:14:00,21:14:00,8
2025.11.06 21:16:00,21:16:00,15
