Date,Time,Steps
2025.11.11 09:46:00,09:46:00,9
2025.11.11 09:47:00,09:47:00,38
2025.11.11 09:48:00,09:48:00,41
2025.11.11 09:49:00,09:49:00,44
2025.11.11 09:53:00,09:53:00,50
2025.11.11 09:54:00,09:54:00,22
2025.11.11 09:59:00,09:59:00,22
2025.11.11 10:01:00,10:01:00,35
2025.11.11 10:02:00,10:02:00,92
2025.11.11 10:03:00,10:03:00,6
2025.11.11 10:34:00,10:34:00,71
2025.11.11 10:36:00,10:36:00,5
2025.11.11 10:37:00,10:37:00,36
2025.11.11 10:38:00,10:38:00,45
2025.11.11 10:39:00,10:39:00,41
2025.11.11 10:40:00,10:40:00,28
2025.11.11 10:42:00,10:42:00,41
2025.11.11 10:43:00,10:43:00,19
2025.11.11 10:44:00,10:44:00,138
2025.11.11 10:45:00,10:45:00,127
2025.11.11 10:46:00,10:46:00,77
2025.11.11 10:47:00,10:47:00,66
2025.11.11 10:48:00,10:48:00,124
2025.11.11 10:49:00,10:49:00,21
2025.11.11 10:53:00,10:53:00,8
2025.11.11 10:55:00,10:55:00,114
2025.11.11 10:56:00,10:56:00,120
2025.11.11 10:57:00,10:57:00,121
2025.11.11 10:58:00,10:58:00,121
2025.11.11 10:59:00,10:59:00,115
2025.11.11 11:00:00,11:00:00,85
2025.11.11 11:01:00,11:01:00,3
2025.11.11 11:03:00,11:03:00,18
2025.11.11 11:05:00,11:05:00,71
2025.11.11 11:11:00,11:11:00,51
2025.11.11 11:12:00,11:12:00,22
2025.11.11 11:13:00,11:13:00,65
2025.11.11 11:14:00,11:14:00,15
2025.11.11 11:16:00,11:16:00,20
2025.11.11 11:17:00,11:17:00,21
2025.11.11 11:19:00,11:19:00,67
2025.11.11 11:20:00,11:20:00,94
2025.11.11 11:21:00,11:21:00,75
2025.11.11 11:22:00,11:22:00,32
2025.11.11 11:24:00,11:24:00,20
2025.11.11 11:25:00,11:25:00,6
2025.11.11 11:28:00,11:28:00,22
2025.11.11 11:30:00,11:30:00,34
2025.11.11 11:31:00,11:31:00,77
2025.11.11 11:34:00,11:34:00,12
2025.11.11 11:40:00,11:40:00,32
2025.11.11 11:41:00,11:41:00,24
2025.11.11 11:44:00,11:44:00,20
2025.11.11 11:46:00,11:46:00,20
2025.11.11 11:47:00,11:47:00,23
2025.11.11 11:48:00,11:48:00,2
2025.11.11 11:50:00,11:50:00,3
2025.11.11 11:53:00,11:53:00,25
2025.11.11 11:56:00,11:56:00,20
2025.11.11 11:57:00,11:57:00,19
2025.11.11 11:59:00,11:59:00,9
2025.11.11 12:00:00,12:00:00,12
2025.11.11 12:02:00,12:02:00,17
2025.11.11 12:03:00,12:03:00,69
2025.11.11 12:04:00,12:04:00,44
2025.11.11 12:05:00,12:05:00,14
2025.11.11 12:07:00,12:07:00,16
2025.11.11 12:08:00,12:08:00,3
2025.11.11 12:10:00,12:10:00,32
2025.11.11 12:11:00,12:11:00,33
2025.11.11 12:13:00,12:13:00,32
2025.11.11 12:14:00,12:14:00,25
2025.11.11 12:15:00,12:15:00,18
2025.11.11 12:18:00,12:18:00,24
2025.11.11 12:21:00,12:21:00,6
2025.11.11 12:23:00,12:23:00,31
2025.11.11 12:27:00,12:27:00,25
2025.11.11 12:28:00,12:28:00,15
2025.11.11 12:33:00,12:33:00,38
2025.11.11 12:34:00,12:34:00,37
2025.11.11 12:35:00,12:35:00,21
2025.11.11 12:36:00,12:36:00,26
2025.11.11 12:38:00,12:38:00,25
2025.11.11 12:39:00,12:39:00,46
2025.11.11 12:41:00,12:41:00,28
2025.11.11 12:42:00,12:42:00,19
2025.11.11 12:44:00,12:44:00,35
2025.11.11 12:45:00,12:45:00,27
2025.11.11 12:46:00,12:46:00,58
2025.11.11 12:47:00,12:47:00,3
2025.11.11 12:54:00,12:54:00,46
2025.11.11 12:55:00,12:55:00,46
2025.11.11 13:00:00,13:00:00,17
2025.11.11 13:01:00,13:01:00,14
2025.11.11 13:04:00,13:04:00,53
2025.11.11 13:07:00,13:07:00,50
2025.11.11 13:11:00,13:11:00,51
2025.11.11 13:12:00,13:12:00,31
2025.11.11 13:13:00,13:13:00,8
2025.11.11 13:14:00,13:14:00,19
2025.11.11 13:16:00,13:16:00,74
2025.11.11 13:17:00,13:17:00,81
2025.11.11 13:19:00,13:19:00,11
2025.11.11 13:22:00,13:22:00,17
2025.11.11 13:23:00,13:23:00,112
2025.11.11 13:24:00,13:24:00,65
2025.11.11 13:25:00,13:25:00,75
2025.11.11 13:26:00,13:26:00,30
2025.11.11 13:27:00,13:27:00,16
2025.11.11 13:28:00,13:28:00,48
2025.11.11 13:29:00,13:29:00,26
2025.11.11 13:31:00,13:31:00,56
2025.11.11 13:32:00,13:32:00,83
2025.11.11 13:35:00,13:35:00,51
2025.11.11 13:36:00,13:36:00,57
2025.11.11 13:37:00,13:37:00,1
2025.11.11 13:39:00,13:39:00,83
2025.11.11 13:40:00,13:40:00,124
2025.11.11 13:41:00,13:41:00,119
2025.11.11 13:42:00,13:42:00,104
2025.11.11 13:43:00,13:43:00,117
2025.11.11 13:44:00,13:44:00,118
2025.11.11 13:45:00,13:45:00,115
2025.11.11 13:46:00,13:46:00,117
2025.11.11 13:47:00,13:47:00,95
2025.11.11 13:48:00,13:48:00,123
2025.11.11 13:49:00,13:49:00,117
