"year","week","date","unit","recent","origin","value"
"2021","4","2021-01-20","adm","rall","oall","6"
"2021","5","2021-01-27","adm","rall","oall","12"
"2021","6","2021-02-03","adm","rall","oall","15"
"2021","7","2021-02-10","adm","rall","oall","102"
"2021","8","2021-02-17","adm","rall","oall","98"
"2021","9","2021-02-24","adm","rall","oall","29"
"2021","10","2021-03-03","adm","rall","oall","9"
"2021","11","2021-03-10","adm","rall","oall","77"
"2021","12","2021-03-17","adm","rall","oall","153"
"2021","13","2021-03-24","adm","rall","oall","747"
"2021","14","2021-03-31","adm","rall","oall","1011"
"2021","15","2021-04-07","adm","rall","oall","213"
"2021","16","2021-04-14","adm","rall","oall","2066"
"2021","17","2021-04-21","adm","rall","oall","41993"
"2021","18","2021-04-28","adm","rall","oall","92178"
"2021","19","2021-05-05","adm","rall","oall","53757"
"2021","20","2021-05-12","adm","rall","oall","118840"
"2021","21","2021-05-19","adm","rall","oall","80230"
"2021","22","2021-05-26","adm","rall","oall","44923"
"2021","23","2021-06-02","adm","rall","oall","83339"
"2021","24","2021-06-09","adm","rall","oall","48070"
"2021","25","2021-06-16","adm","rall","oall","56926"
"2021","26","2021-06-23","adm","rall","oall","69239"
"2021","27","2021-06-30","adm","rall","oall","128193"
"2021","28","2021-07-07","adm","rall","oall","154335"
"2021","29","2021-07-14","adm","rall","oall","207503"
"2021","30","2021-07-21","adm","rall","oall","202720"
"2021","31","2021-07-28","adm","rall","oall","205042"
"2021","32","2021-08-04","adm","rall","oall","208804"
"2021","33","2021-08-11","adm","rall","oall","111525"
"2021","34","2021-08-18","adm","rall","oall","128283"
"2021","35","2021-08-25","adm","rall","oall","130868"
"2021","36","2021-09-01","adm","rall","oall","178204"
"2021","37","2021-09-08","adm","rall","oall","117498"
"2021","38","2021-09-15","adm","rall","oall","142340"
"2021","39","2021-09-22","adm","rall","oall","103814"
"2021","40","2021-09-29","adm","rall","oall","299813"
"2021","41","2021-10-06","adm","rall","oall","262076"
"2021","42","2021-10-13","adm","rall","oall","201405"
"2021","43","2021-10-20","adm","rall","oall","204030"
"2021","44","2021-10-27","adm","rall","oall","208965"
"2021","45","2021-11-03","adm","rall","oall","174088"
"2021","46","2021-11-10","adm","rall","oall","161686"
"2021","47","2021-11-17","adm","rall","oall","129597"
"2021","48","2021-11-24","adm","rall","oall","140159"
"2021","49","2021-12-01","adm","rall","oall","151506"
"2021","50","2021-12-08","adm","rall","oall","139672"
"2021","51","2021-12-15","adm","rall","oall","286603"
"2021","52","2021-12-22","adm","rall","oall","314799"
"2022","1","2021-12-29","adm","rall","oall","230719"
"2022","2","2022-01-05","adm","rall","oall","189075"
"2022","3","2022-01-12","adm","rall","oall","125990"
"2022","4","2022-01-19","adm","rall","oall","128651"
"2022","5","2022-01-26","adm","rall","oall","133230"
"2022","6","2022-02-02","adm","rall","oall","133641"
"2022","7","2022-02-09","adm","rall","oall","143251"
"2022","8","2022-02-16","adm","rall","oall","229621"
"2022","9","2022-02-23","adm","rall","oall","173760"
"2022","10","2022-03-02","adm","rall","oall","185327"
"2022","11","2022-03-09","adm","rall","oall","153929"
"2022","12","2022-03-16","adm","rall","oall","131811"
"2022","13","2022-03-23","adm","rall","oall","101631"
"2022","14","2022-03-30","adm","rall","oall","221729"
"2022","15","2022-04-06","adm","rall","oall","213312"
"2022","16","2022-04-13","adm","rall","oall","161789"
"2022","17","2022-04-20","adm","rall","oall","207513"
"2022","18","2022-04-27","adm","rall","oall","146589"
"2022","19","2022-05-04","adm","rall","oall","186755"
"2022","20","2022-05-11","adm","rall","oall","91482"
"2022","21","2022-05-18","adm","rall","oall","94371"
"2022","22","2022-05-25","adm","rall","oall","184711"
"2022","23","2022-06-01","adm","rall","oall","234275"
"2022","24","2022-06-08","adm","rall","oall","129104"
"2022","25","2022-06-15","adm","rall","oall","98759"
"2022","26","2022-06-22","adm","rall","oall","145110"
"2022","27","2022-06-29","adm","rall","oall","156044"
"2022","28","2022-07-06","adm","rall","oall","164248"
"2022","29","2022-07-13","adm","rall","oall","132927"
"2022","30","2022-07-20","adm","rall","oall","133553"
"2022","31","2022-07-27","adm","rall","oall","123416"
"2022","32","2022-08-03","adm","rall","oall","149123"
"2022","33","2022-08-10","adm","rall","oall","120088"
"2022","34","2022-08-17","adm","rall","oall","154040"
"2022","35","2022-08-24","adm","rall","oall","116333"
"2022","36","2022-08-31","adm","rall","oall","248487"
"2022","37","2022-09-07","adm","rall","oall","116157"
"2022","38","2022-09-14","adm","rall","oall","146465"
"2022","39","2022-09-21","adm","rall","oall","166084"
"2022","40","2022-09-28","adm","rall","oall","183022"
"2022","41","2022-10-05","adm","rall","oall","194763"
"2022","42","2022-10-12","adm","rall","oall","198927"
"2022","43","2022-10-19","adm","rall","oall","208230"
"2022","44","2022-10-26","adm","rall","oall","188717"
"2022","45","2022-11-02","adm","rall","oall","192205"
"2022","46","2022-11-09","adm","rall","oall","216444"
"2022","47","2022-11-16","adm","rall","oall","187105"
"2022","48","2022-11-23","adm","rall","oall","150357"
"2022","49","2022-11-30","adm","rall","oall","134633"
"2022","50","2022-12-07","adm","rall","oall","133776"
"2022","51","2022-12-14","adm","rall","oall","269985"
"2022","52","2022-12-21","adm","rall","oall","352572"
"2023","1","2022-12-28","adm","rall","oall","421171"
"2023","2","2023-01-04","adm","rall","oall","329515"
"2023","3","2023-01-11","adm","rall","oall","237438"
"2023","4","2023-01-18","adm","rall","oall","181338"
"2023","5","2023-01-25","adm","rall","oall","210800"
"2023","6","2023-02-01","adm","rall","oall","239359"
"2023","7","2023-02-08","adm","rall","oall","194344"
"2023","8","2023-02-15","adm","rall","oall","181598"
