time,seconds_elapsed,bpm
1766478782121000000,-0.579,87
1766478783121000000,0.421,85
1766478784120000000,1.42,84
1766478785119000000,2.419,0
1766478786118000000,3.418000244140625,85
1766478787117000000,4.417,86
1766478788116000000,5.416,86
1766478789115000000,6.415,87
1766478790114000000,7.413999755859375,88
1766478791113000000,8.413,88
1766478792112000000,9.412,88
1766478793112000000,10.412,87
1766478794111000000,11.411,89
1766478795109000000,12.409,89
1766478796109000000,13.409,89
1766478797108000000,14.408,90
1766478798107000000,15.407,90
1766478799106000000,16.405999755859376,91
1766478800105000000,17.405,91
1766478801104000000,18.404,91
1766478802103000000,19.403,91
1766478803103000000,20.403,91
1766478804102000000,21.402000244140623,91
1766478805101000000,22.401,92
1766478806099000000,23.399,93
1766478807099000000,24.399,92
1766478808098000000,25.397999755859374,91
1766478809097000000,26.397,91
1766478810096000000,27.396,92
1766478811096000000,28.396,91
1766478812095000000,29.395,91
1766478813095000000,30.395,90
1766478814094000000,31.394000244140624,89
1766478815093000000,32.393,87
1766478816093000000,33.393,86
1766478817092000000,34.392,85
1766478818092000000,35.392,84
1766478819092000000,36.392,85
1766478820092000000,37.392,85
1766478821091000000,38.391,84
1766478822091000000,39.391,83
1766478823091000000,40.391,82
1766478824091000000,41.391,81
1766478825090000000,42.38999975585938,80
1766478826090000000,43.38999975585938,79
1766478827089000000,44.389,78
1766478828089000000,45.389,81
1766478829088000000,46.388,81
1766478830088000000,47.388,80
1766478831088000000,48.388,80
1766478832088000000,49.388,80
1766478833087000000,50.387,80
1766478834087000000,51.387,82
1766478835087000000,52.387,83
1766478836086000000,53.386000244140625,83
1766478837086000000,54.386000244140625,84
1766478838086000000,55.386000244140625,85
1766478839086000000,56.386000244140625,84
1766478840085000000,57.385,84
1766478841085000000,58.385,84
1766478842085000000,59.385,85
1766478843085000000,60.385,84
1766478844085000000,61.385,85
1766478845084000000,62.384,86
1766478846084000000,63.384,91
1766478847083000000,64.383,91
1766478848082000000,65.38199975585937,91
1766478849082000000,66.38199975585937,91
1766478850082000000,67.38199975585937,91
1766478851082000000,68.38199975585937,91
1766478852081000000,69.381,91
1766478853081000000,70.381,88
1766478854081000000,71.381,89
1766478855080000000,72.38,89
1766478856080000000,73.38,92
1766478857080000000,74.38,94
1766478858080000000,75.38,95
1766478859080000000,76.38,93
1766478860080000000,77.38,92
1766478861080000000,78.38,92
1766478862079000000,79.379,90
1766478863079000000,80.379,90
1766478864079000000,81.379,90
1766478865078000000,82.37800024414062,90
1766478866078000000,83.37800024414062,92
1766478867077000000,84.377,94
1766478868077000000,85.377,98
1766478869077000000,86.377,101
1766478870076000000,87.376,104
1766478871076000000,88.376,105
1766478872076000000,89.376,106
1766478873076000000,90.376,107
1766478874076000000,91.376,109
1766478875076000000,92.376,108
1766478876076000000,93.376,108
1766478877076000000,94.376,109
1766478878076000000,95.376,109
1766478879076000000,96.376,110
1766478880076000000,97.376,109
1766478881076000000,98.376,110
1766478882076000000,99.376,109
1766478883076000000,100.376,110
1766478884075000000,101.375,110
1766478885075000000,102.375,109
1766478886075000000,103.375,108
1766478887075000000,104.375,108
1766478888074000000,105.37399975585937,109
1766478889074000000,106.37399975585937,108
1766478890074000000,107.37399975585937,108
1766478891074000000,108.37399975585937,107
1766478892074000000,109.37399975585937,106
1766478893074000000,110.37399975585937,107
1766478894073000000,111.373,107
1766478895074000000,112.37399975585937,107
1766478896074000000,113.37399975585937,105
1766478897074000000,114.37399975585937,106
1766478898074000000,115.37399975585937,106
1766478899074000000,116.37399975585937,108
1766478900073000000,117.373,109
1766478901073000000,118.373,108
1766478902073000000,119.373,108
1766478903073000000,120.373,108
1766478904072000000,121.372,108
1766478905072000000,122.372,109
1766478906072000000,123.372,109
1766478907072000000,124.372,109
1766478908072000000,125.372,108
1766478909072000000,126.372,107
1766478910072000000,127.372,107
1766478911072000000,128.372,107
1766478912073000000,129.373,107
1766478913073000000,130.373,107
1766478914073000000,131.373,107
1766478915073000000,132.373,106
1766478916073000000,133.373,106
1766478917073000000,134.373,106
1766478918073000000,135.373,105
1766478919074000000,136.3739997558594,104
1766478920074000000,137.3739997558594,103
1766478921075000000,138.375,101
1766478922075000000,139.375,100
1766478923075000000,140.375,100
1766478924075000000,141.375,102
1766478925076000000,142.376,102
1766478926076000000,143.376,103
1766478927076000000,144.376,0
1766478928077000000,145.377,102
1766478929077000000,146.377,102
1766478930077000000,147.377,101
1766478931077000000,148.377,100
1766478932078000000,149.37800024414062,100
1766478933078000000,150.37800024414062,99
1766478934079000000,151.379,98
1766478935079000000,152.379,98
1766478936079000000,153.379,99
1766478937079000000,154.379,100
1766478938079000000,155.379,99
1766478939079000000,156.379,100
1766478940079000000,157.379,101
1766478941080000000,158.38,101
1766478942080000000,159.38,100
1766478943079000000,160.379,100
1766478944080000000,161.38,0
1766478945080000000,162.38,101
1766478946081000000,163.381,101
1766478947081000000,164.381,101
1766478948082000000,165.38199975585937,99
1766478949082000000,166.38199975585937,97
1766478950083000000,167.383,96
1766478951083000000,168.383,94
1766478952083000000,169.383,93
1766478953083000000,170.383,95
1766478954083000000,171.383,96
1766478955083000000,172.383,98
1766478956084000000,173.384,98
1766478957084000000,174.384,97
1766478958084000000,175.384,96
1766478959085000000,176.385,95
1766478960085000000,177.385,95
1766478961086000000,178.38600024414063,94
1766478962086000000,179.38600024414063,94
1766478963087000000,180.387,93
1766478964087000000,181.387,93
1766478965087000000,182.387,93
1766478966087000000,183.387,94
1766478967087000000,184.387,94
1766478968087000000,185.387,93
1766478969088000000,186.388,93
1766478970089000000,187.389,93
1766478971089000000,188.389,93
1766478972090000000,189.38999975585938,93
1766478973090000000,190.38999975585938,92
1766478974090000000,191.38999975585938,92
1766478975090000000,192.38999975585938,91
1766478976091000000,193.391,89
1766478977091000000,194.391,89
1766478978092000000,195.392,87
1766478979093000000,196.393,85
1766478980093000000,197.393,84
1766478981094000000,198.3940002441406,84
1766478983060000000,200.36,83
1766478984061000000,201.361,82
1766478985061000000,202.361,0
1766478986062000000,203.36200024414063,81
1766478987062000000,204.36200024414063,80
1766478988063000000,205.363,81
1766478989064000000,206.364,81
1766478990064000000,207.364,82
1766478991065000000,208.365,84
1766478992065000000,209.365,85
1766478993065000000,210.365,85
1766478994065000000,211.365,85
1766478995065000000,212.365,84
1766478996065000000,213.365,84
1766478997065000000,214.365,84
1766478998065000000,215.365,85
1766478999066000000,216.36599975585938,85
1766479000066000000,217.36599975585938,0
1766479001067000000,218.367,85
1766479002067000000,219.367,86
1766479003068000000,220.368,86
1766479004068000000,221.368,85
1766479005068000000,222.368,84
1766479006068000000,223.368,84
1766479007069000000,224.369,84
1766479008069000000,225.369,84
1766479009069000000,226.369,85
1766479010069000000,227.369,86
1766479011069000000,228.369,86
1766479012070000000,229.3700002441406,87
1766479013070000000,230.3700002441406,86
1766479014071000000,231.371,86
1766479015071000000,232.371,87
1766479016071000000,233.371,89
1766479017072000000,234.372,90
1766479018072000000,235.372,90
1766479019073000000,236.373,91
1766479020073000000,237.373,93
1766479021073000000,238.373,93
1766479022074000000,239.3739997558594,92
1766479023074000000,240.3739997558594,93
1766479024075000000,241.375,91
1766479025075000000,242.375,92
1766479026075000000,243.375,92
1766479027075000000,244.375,93
1766479028075000000,245.375,92
1766479029076000000,246.376,91
1766479030076000000,247.376,91
1766479031077000000,248.377,91
1766479032078000000,249.37800024414062,92
1766479033078000000,250.37800024414062,93
1766479034079000000,251.379,94
1766479035080000000,252.38,94
1766479036080000000,253.38,92
1766479037081000000,254.381,93
1766479038082000000,255.38199975585937,94
1766479039082000000,256.3819997558594,95
1766479040082000000,257.3819997558594,94
1766479041082000000,258.3819997558594,94
1766479042083000000,259.383,93
1766479043084000000,260.384,95
1766479044084000000,261.384,96
1766479045085000000,262.385,96
1766479046085000000,263.385,96
1766479047085000000,264.385,96
1766479048085000000,265.385,96
1766479049086000000,266.38600024414063,99
1766479050086000000,267.38600024414063,99
1766479051086000000,268.38600024414063,99
1766479052087000000,269.387,100
1766479053087000000,270.387,101
1766479054088000000,271.388,101
1766479055089000000,272.389,103
1766479056089000000,273.389,104
1766479057090000000,274.3899997558594,106
1766479058091000000,275.391,105
1766479059092000000,276.392,104
1766479060093000000,277.393,104
1766479061093000000,278.393,104
1766479062094000000,279.3940002441406,105
1766479063094000000,280.3940002441406,105
1766479064094000000,281.3940002441406,105
1766479065095000000,282.395,106
1766479066096000000,283.396,105
1766479067096000000,284.396,105
1766479068097000000,285.397,105
1766479069097000000,286.397,105
1766479070098000000,287.39799975585936,104
1766479071098000000,288.39799975585936,104
1766479072098000000,289.39799975585936,102
1766479073099000000,290.399,103
1766479074099000000,291.399,102
1766479075100000000,292.4,101
1766479076100000000,293.4,99
1766479077101000000,294.401,99
1766479078101000000,295.401,97
1766479079101000000,296.401,98
1766479080102000000,297.40200024414065,101
1766479081102000000,298.40200024414065,104
1766479082102000000,299.40200024414065,104
1766479083103000000,300.403,102
1766479084103000000,301.403,103
1766479085103000000,302.403,104
1766479086103000000,303.403,105
1766479087104000000,304.404,106
1766479088104000000,305.404,108
1766479089104000000,306.404,0
1766479090105000000,307.405,109
1766479091106000000,308.4059997558594,111
1766479092106000000,309.4059997558594,110
1766479093106000000,310.4059997558594,111
1766479094104000000,311.404,109
1766479095104000000,312.404,109
1766479096104000000,313.404,107
1766479097104000000,314.404,107
1766479098104000000,315.404,108
1766479099104000000,316.404,106
1766479100104000000,317.404,108
1766479101105000000,318.405,110
1766479102105000000,319.405,110
1766479103106000000,320.4059997558594,109
1766479104107000000,321.407,109
1766479105107000000,322.407,106
1766479106108000000,323.408,107
1766479107109000000,324.409,106
1766479108110000000,325.41000024414063,105
1766479109110000000,326.41000024414063,105
1766479110111000000,327.411,105
1766479111112000000,328.412,104
1766479112112000000,329.412,103
1766479113112000000,330.412,0
1766479114112000000,331.412,103
1766479115113000000,332.413,105
1766479116113000000,333.413,104
1766479117113000000,334.413,103
1766479118114000000,335.4139997558594,102
1766479119114000000,336.4139997558594,99
1766479120115000000,337.415,100
1766479121115000000,338.415,100
1766479122115000000,339.415,102
1766479123116000000,340.416,100
1766479124116000000,341.416,99
1766479125117000000,342.417,99
1766479126118000000,343.4180002441406,99
1766479127118000000,344.4180002441406,98
1766479128119000000,345.419,96
1766479129119000000,346.419,95
1766479130120000000,347.42,94
1766479131120000000,348.42,95
1766479132121000000,349.421,95
1766479133121000000,350.421,96
1766479134122000000,351.42199975585936,96
1766479135123000000,352.423,96
1766479136124000000,353.424,95
1766479137125000000,354.425,95
1766479138126000000,355.42600024414065,95
1766479139126000000,356.42600024414065,95
1766479140127000000,357.427,96
1766479141128000000,358.428,96
1766479142129000000,359.429,98
1766479143130000000,360.4299997558594,99
1766479144130000000,361.4299997558594,99
1766479145131000000,362.431,98
1766479146131000000,363.431,96
1766479147131000000,364.431,97
1766479148132000000,365.432,98
1766479149132000000,366.432,99
1766479150133000000,367.433,99
1766479151133000000,368.433,99
1766479152134000000,369.43400024414063,99
1766479153134000000,370.43400024414063,100
1766479154135000000,371.435,100
1766479155136000000,372.436,100
1766479156137000000,373.437,100
1766479157137000000,374.437,101
1766479158138000000,375.4379997558594,101
1766479159139000000,376.439,100
1766479160139000000,377.439,0
1766479161140000000,378.44,101
1766479162141000000,379.441,102
1766479163142000000,380.4420002441406,101
1766479164143000000,381.443,101
1766479165144000000,382.444,102
1766479166145000000,383.445,102
1766479167145000000,384.445,103
1766479168146000000,385.44599975585936,104
1766479169146000000,386.44599975585936,105
1766479170146000000,387.44599975585936,105
1766479171146000000,388.44599975585936,106
1766479172147000000,389.447,106
1766479173147000000,390.447,106
1766479174148000000,391.448,106
1766479175149000000,392.449,107
1766479176149000000,393.449,107
1766479177150000000,394.4500002441406,0
1766479178150000000,395.4500002441406,108
1766479179151000000,396.451,109
1766479180151000000,397.451,110
1766479181152000000,398.452,109
1766479182152000000,399.452,109
1766479183152000000,400.452,108
1766479184153000000,401.453,107
1766479185154000000,402.4539997558594,106
1766479186154000000,403.4539997558594,105
1766479187155000000,404.455,106
1766479188156000000,405.456,106
1766479189156000000,406.456,106
1766479190157000000,407.457,105
1766479191158000000,408.45800024414064,104
1766479192159000000,409.459,104
1766479193160000000,410.46,103
1766479194161000000,411.461,103
1766479195162000000,412.4619997558594,105
1766479196162000000,413.4619997558594,104
1766479197163000000,414.463,104
1766479198164000000,415.464,103
1766479199164000000,416.464,102
1766479200165000000,417.465,102
1766479201165000000,418.465,101
1766479202166000000,419.4660002441406,102
1766479203166000000,420.4660002441406,101
1766479204167000000,421.467,100
1766479205167000000,422.467,101
1766479206167000000,423.467,102
1766479207168000000,424.468,102
1766479208169000000,425.469,103
1766479209169000000,426.469,102
1766479210170000000,427.46999975585936,101
1766479211170000000,428.46999975585936,100
1766479212171000000,429.471,99
1766479213172000000,430.472,100
1766479214172000000,431.472,101
1766479215174000000,432.4740002441406,99
1766479216174000000,433.4740002441406,99
1766479217175000000,434.475,100
1766479218176000000,435.476,100
1766479219177000000,436.477,100
1766479220178000000,437.4779997558594,99
1766479221179000000,438.479,99
1766479222180000000,439.48,99
1766479223181000000,440.481,99
1766479224182000000,441.48200024414064,99
1766479225183000000,442.483,98
1766479226183000000,443.483,97
1766479227184000000,444.484,97
1766479228185000000,445.485,97
1766479229185000000,446.485,96
1766479230186000000,447.4859997558594,96
1766479231187000000,448.487,97
1766479232188000000,449.488,100
1766479233189000000,450.489,101
1766479234190000000,451.4900002441406,99
1766479235191000000,452.491,98
1766479236192000000,453.492,97
1766479237193000000,454.493,96
1766479238195000000,455.495,97
1766479239196000000,456.496,98
1766479240197000000,457.497,99
1766479241198000000,458.4980002441406,100
1766479242199000000,459.499,99
1766479243200000000,460.5,99
1766479244200000000,461.5,99
1766479245201000000,462.501,98
1766479246202000000,463.5019997558594,98
1766479247203000000,464.503,97
1766479248205000000,465.505,96
1766479249206000000,466.50600024414064,96
1766479250207000000,467.507,96
1766479251208000000,468.508,96
1766479252209000000,469.509,96
1766479253210000000,470.5099997558594,95
1766479254212000000,471.512,95
1766479255213000000,472.513,96
1766479256214000000,473.5140002441406,97
